denominator,metric,numerator,value,variant
4,tasks,4,1.0,d4_bgpad_sparse
4,hard_task_exact,0.0,0.0,d4_bgpad_sparse
4,hard_demo_exact,0.0,0.0,d4_bgpad_sparse
4,tasks,4,1.0,d4_sparse
4,hard_task_exact,0.0,0.0,d4_sparse
4,hard_demo_exact,0.0,0.0,d4_sparse
4,tasks,4,1.0,dlo
4,hard_task_exact,0.0,0.0,dlo
4,hard_demo_exact,0.0,0.0,dlo
4,tasks,4,1.0,dlr
4,hard_task_exact,0.0,0.0,dlr
4,hard_demo_exact,0.0,0.0,dlr
4,tasks,4,1.0,mlp
4,hard_task_exact,0.0,0.0,mlp
4,hard_demo_exact,1.0,0.25,mlp
4,tasks,4,1.0,sparse
4,hard_task_exact,0.0,0.0,sparse
4,hard_demo_exact,0.0,0.0,sparse
