active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
96,0.9133333333333333,0.0,none,,,,cuda,18.05118849000428,480,0.09,0.09,0.0,0.0,1.0,2eb3029b01fe0868463f507ed192dc7f9a3259d3b45929f0003d4f756ef9eede,4472,260,9,100,0.09,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,1,0.0,2,same,0.61,0.0,0.0,0.0,12,1,trained,465b7d93,100,,52000,2,[null],2400,dlr,10,10
96,0.9133333333333333,0.0,none,,,,cuda,17.76002177398186,480,0.61,0.7966666666666666,0.0,0.0,1.0,a4bcca86c8c9a5daaf890869124c61f175489d554a6eefc8c94ad57c9a724d43,4472,260,0,100,0.0,0.0,0.0,0.0,0.0,,,difflogic,4160,133120,2,1.0,1,same,0.61,0.0,0.0,0.0,12,1,trained,465b7d93,100,,26000,1,[null],1200,dlr,10,10
108,0.9133333333333333,0.0,none,,,,cuda,17.759428611956537,480,0.59,0.72,0.0,0.0,1.0,566a43bb5c16814eaf93b0eaa87ca6602d7ac95dbc42a8c7d8c81483a7dea3ba,6536,340,71,100,0.71,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,0,0.0,4,same,0.2,0.0,0.0,0.0,12,90,trained,465b7d93,100,,136000,4,[null],4800,dlo,10,10
90,0.9133333333333333,0.0,none,,,,cuda,17.64360251801554,480,0.61,0.7966666666666666,0.0,0.0,1.0,82206368e0d8da10fcf78955ef0f37bb9e34bcb1978745faf6c1710936fecd15,6536,340,0,100,0.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,1,0.0,1,same,0.61,0.0,0.0,0.0,12,90,trained,465b7d93,100,,34000,1,[null],1200,dlo,10,10
113,0.9133333333333333,0.0,none,,,,cuda,17.957487647072412,480,0.86,0.9166666666666666,0.0,0.0,1.0,e6a8ea251eb3b7762bcd122b3d3cb5a712073923077c07d5871d77e3476b71fb,6536,340,100,100,1.0,0.0,0.0,0.0,0.0,,,difflogic,5440,174080,2,1.0,1,same,0.61,0.0,0.0,0.0,12,90,trained,465b7d93,100,,34000,1,[null],1200,dlo,10,10
0,0.9133333333333333,0.0,none,57600,,,cuda,6.432545506977476,461,0.89,1.0,1.0,1.0,,,,,0,100,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,0,1.0,8,same,0.89,0.0,0.0,0.0,12,90,trained,465b7d93,100,46080000,,8,[3],9600,mlp,10,10
0,0.9133333333333333,0.0,none,57600,,,cuda,7.326442415942438,480,0.87,0.9433333333333334,0.0,0.0,,,,,0,100,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,1,0.0,1,same,0.87,0.0,0.0,0.0,12,90,trained,465b7d93,100,5760000,,1,[null],1200,mlp,10,10
0,0.9133333333333333,0.0,none,57600,,,cuda,7.070381633937359,461,0.89,1.0,1.0,1.0,,,,,0,100,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,2,0.0,8,same,0.89,0.0,0.0,0.0,12,90,trained,465b7d93,100,46080000,,8,[3],9600,mlp,10,10
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,94be5b80,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.8731501057082452,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,94be5b80,,,,,,,d4_sparse,,
