basis,functions,exact_functions,exact_coverage,mean_formula_gate_refs,mean_observed_hashconsed_dag_upper_bound_gates,mean_basis_formula_dag_code_upper_bound_bits,formula_optimal_functions,smallest_observed_hashconsed_dag_upper_bound_functions,smallest_observed_witness_code_functions,compile_seconds,candidates_evaluated,scope
AIG,256,256,1.0,3.328125,3.265625,41.5390625,96,96,96,0.12607866199687123,25865,exact minimum formula size on the complete 3-input function space
MIG,256,256,1.0,2.78125,2.78125,48.375,120,120,16,0.15844620007555932,32184,exact minimum formula size on the complete 3-input function space
MIXED,256,256,1.0,2.1015625,2.1015625,35.25,256,256,40,0.40621404303237796,85026,exact minimum formula size on the complete 3-input function space
XAG,256,256,1.0,2.3203125,2.3203125,31.4765625,216,216,128,0.05249061796348542,11426,exact minimum formula size on the complete 3-input function space
