function_id,task,family,positive_fraction,relevant_inputs,total_influence,max_influence,fourier_degree,fourier_mass_degree_le_1,fourier_mass_degree_le_2,anf_degree,anf_terms,monotonicity_violation_rate,symmetry_error_rate,certificate_c0,certificate_c1,certificate_mean,noise_sensitivity,noise_rate
0,zero,constant,0.0,0,0.0,0.0,0,1.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.1
1,truth_table_001,symmetric,0.125,3,0.75,0.25,3,0.75,0.9375,3,8,0.25,0.0,1,3,1.25,0.06774999999999998,0.1
2,truth_table_002,general,0.125,3,0.75,0.25,3,0.75,0.9375,3,4,0.16666666666666666,0.125,1,3,1.25,0.06774999999999998,0.1
3,truth_table_003,general,0.25,2,1.0,0.5,2,0.75,1.0,2,4,0.3333333333333333,0.125,1,2,1.25,0.09499999999999997,0.1
4,truth_table_004,general,0.125,3,0.75,0.25,3,0.75,0.9375,3,4,0.16666666666666666,0.125,1,3,1.25,0.06774999999999998,0.1
5,truth_table_005,general,0.25,2,1.0,0.5,2,0.75,1.0,2,4,0.3333333333333333,0.125,1,2,1.25,0.09499999999999997,0.1
6,truth_table_006,general,0.25,3,1.5,0.5,3,0.5,0.75,2,4,0.3333333333333333,0.125,2,3,1.75,0.13099999999999995,0.1
7,truth_table_007,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,4,0.4166666666666667,0.125,2,2,1.5,0.11774999999999997,0.1
8,truth_table_008,general,0.125,3,0.75,0.25,3,0.75,0.9375,3,2,0.08333333333333333,0.125,1,3,1.25,0.06774999999999998,0.1
9,truth_table_009,general,0.25,3,1.5,0.5,3,0.5,0.75,2,6,0.3333333333333333,0.125,2,3,1.75,0.13099999999999995,0.1
10,truth_table_010,general,0.25,2,1.0,0.5,2,0.75,1.0,2,2,0.16666666666666666,0.25,1,2,1.25,0.09499999999999997,0.1
11,truth_table_011,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
12,truth_table_012,general,0.25,2,1.0,0.5,2,0.75,1.0,2,2,0.16666666666666666,0.25,1,2,1.25,0.09499999999999997,0.1
13,truth_table_013,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
14,truth_table_014,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.25,0.25,2,2,1.5,0.11774999999999997,0.1
15,truth_table_015,literal,0.5,1,1.0,1.0,1,1.0,1.0,1,2,0.3333333333333333,0.25,1,1,1.0,0.09999999999999998,0.1
16,truth_table_016,general,0.125,3,0.75,0.25,3,0.75,0.9375,3,4,0.16666666666666666,0.125,1,3,1.25,0.06774999999999998,0.1
17,truth_table_017,general,0.25,2,1.0,0.5,2,0.75,1.0,2,4,0.3333333333333333,0.125,1,2,1.25,0.09499999999999997,0.1
18,truth_table_018,general,0.25,3,1.5,0.5,3,0.5,0.75,2,4,0.3333333333333333,0.125,2,3,1.75,0.131,0.1
19,truth_table_019,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,4,0.4166666666666667,0.125,2,2,1.5,0.11774999999999997,0.1
20,truth_table_020,general,0.25,3,1.5,0.5,3,0.5,0.75,2,4,0.3333333333333333,0.125,2,3,1.75,0.131,0.1
21,truth_table_021,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,4,0.4166666666666667,0.125,2,2,1.5,0.11775000000000002,0.1
22,exactly_one3,symmetric,0.375,3,2.25,0.75,3,0.25,0.4375,3,4,0.5,0.0,3,3,2.5,0.18974999999999997,0.1
23,truth_table_023,symmetric,0.5,3,1.5,0.5,3,0.75,0.75,2,4,0.5,0.0,2,2,2.0,0.13599999999999995,0.1
24,truth_table_024,general,0.25,3,1.5,0.5,2,0.25,1.0,2,4,0.25,0.25,2,3,2.25,0.135,0.1
25,truth_table_025,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.4166666666666667,0.25,2,3,2.125,0.15775,0.1
26,truth_table_026,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.3333333333333333,0.25,2,3,2.125,0.15775,0.1
27,truth_table_027,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.4166666666666667,0.25,2,2,2.0,0.14,0.1
28,truth_table_028,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.3333333333333333,0.25,2,3,2.125,0.15775,0.1
29,truth_table_029,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.4166666666666667,0.25,2,2,2.0,0.14,0.1
30,truth_table_030,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.125,3,3,2.25,0.176,0.1
31,truth_table_031,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.4166666666666667,0.125,2,2,1.5,0.11774999999999997,0.1
32,truth_table_032,general,0.125,3,0.75,0.25,3,0.75,0.9375,3,2,0.08333333333333333,0.125,1,3,1.25,0.06774999999999998,0.1
33,truth_table_033,general,0.25,3,1.5,0.5,3,0.5,0.75,2,6,0.3333333333333333,0.125,2,3,1.75,0.131,0.1
34,truth_table_034,general,0.25,2,1.0,0.5,2,0.75,1.0,2,2,0.16666666666666666,0.25,1,2,1.25,0.09499999999999997,0.1
35,truth_table_035,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
36,truth_table_036,general,0.25,3,1.5,0.5,2,0.25,1.0,2,4,0.25,0.25,2,3,2.25,0.135,0.1
37,truth_table_037,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.4166666666666667,0.25,2,3,2.125,0.15775,0.1
38,truth_table_038,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.3333333333333333,0.25,2,3,2.125,0.15775,0.1
39,truth_table_039,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.4166666666666667,0.25,2,2,2.0,0.14,0.1
40,truth_table_040,general,0.25,3,1.5,0.5,3,0.5,0.75,2,2,0.16666666666666666,0.125,2,3,1.75,0.131,0.1
41,truth_table_041,general,0.375,3,2.25,0.75,3,0.25,0.4375,3,6,0.4166666666666667,0.125,3,3,2.5,0.18974999999999997,0.1
42,truth_table_042,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,2,0.16666666666666666,0.25,2,2,1.5,0.11775000000000002,0.1
43,truth_table_043,general,0.5,3,1.5,0.5,3,0.75,0.75,2,6,0.3333333333333333,0.25,2,2,2.0,0.13599999999999995,0.1
44,truth_table_044,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.25,2,3,2.125,0.15775,0.1
45,truth_table_045,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.25,3,3,2.25,0.176,0.1
46,truth_table_046,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.25,0.25,2,2,2.0,0.14,0.1
47,truth_table_047,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
48,truth_table_048,general,0.25,2,1.0,0.5,2,0.75,1.0,2,2,0.16666666666666666,0.25,1,2,1.25,0.09499999999999997,0.1
49,truth_table_049,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
50,truth_table_050,general,0.375,3,1.25,0.75,3,0.75,0.9375,3,6,0.25,0.25,2,2,1.5,0.11774999999999997,0.1
51,truth_table_051,literal,0.5,1,1.0,1.0,1,1.0,1.0,1,2,0.3333333333333333,0.25,1,1,1.0,0.09999999999999998,0.1
52,truth_table_052,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.3333333333333333,0.25,2,3,2.125,0.15775,0.1
53,truth_table_053,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.4166666666666667,0.25,2,2,2.0,0.14,0.1
54,truth_table_054,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.125,3,3,2.25,0.176,0.1
55,truth_table_055,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.4166666666666667,0.125,2,2,1.5,0.11774999999999997,0.1
56,truth_table_056,general,0.375,3,1.75,0.75,3,0.25,0.9375,3,4,0.25,0.25,2,3,2.125,0.15775,0.1
57,truth_table_057,general,0.5,3,2.0,1.0,3,0.25,0.75,2,4,0.4166666666666667,0.25,3,3,2.25,0.176,0.1
58,truth_table_058,general,0.5,3,1.5,0.5,2,0.5,1.0,2,4,0.25,0.25,2,2,2.0,0.14,0.1
59,truth_table_059,general,0.625,3,1.25,0.75,3,0.75,0.9375,3,4,0.3333333333333333,0.25,2,2,1.5,0.11774999999999997,0.1
60,truth_table_060,affine,0.5,2,2.0,1.0,2,0.0,1.0,1,2,0.3333333333333333,0.25,2,2,2.0,0.18,0.1
61,truth_table_061,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,6,0.4166666666666667,0.25,3,2,2.125,0.15775,0.1
62,truth_table_062,general,0.625,3,1.75,0.75,3,0.25,0.9375,3,6,0.3333333333333333,0.125,3,2,2.125,0.15775,0.1
63,truth_table_063,general,0.75,2,1.0,0.5,2,0.75,1.0,2,2,0.3333333333333333,0.125,2,1,1.25,0.09499999999999997,0.1
64,truth_table_064,general,0.125,3,0.75,0.25,3,0.75,0.9375,3,2,0.08333333333333333,0.125,1,3,1.25,0.06774999999999998,0.1
65,truth_table_065,general,0.25,3,1.5,0.5,3,0.5,0.75,2,6,0.3333333333333333,0.125,2,3,1.75,0.131,0.1
66,truth_table_066,general,0.25,3,1.5,0.5,2,0.25,1.0,2,4,0.25,0.25,2,3,2.25,0.135,0.1
