function_id,task,basis,exact,search_complete,formula_gate_refs,observed_hashconsed_dag_upper_bound_gates,depth,unique_gate_input_edges,internal_gate_fanout_max_including_output,basis_formula_dag_code_upper_bound_bits,residual_bits,basis_formula_witness_plus_residual_bits,compile_seconds,candidates_evaluated,expression,formula_optimal_across_bases,smallest_observed_hashconsed_dag_upper_bound_across_bases,smallest_observed_witness_code_across_basis_formula_witnesses,formula_regret_gates
0,zero,AIG,1,1,0,0,0,0,0,7,1.0,8.0,0.12607866199687123,25865,0,1,1,1,0.0
22,exactly_one3,AIG,1,1,7,7,4,14,1,84,1.0,85.0,0.12607866199687123,25865,"AND(~AND(x0,x1),AND(~AND(~x0,AND(~x1,~x2)),~AND(x2,~AND(~x0,~x1))))",0,0,0,3.0
128,and3,AIG,1,1,2,2,2,4,1,25,1.0,26.0,0.12607866199687123,25865,"AND(x0,AND(x1,x2))",1,1,1,0.0
150,parity3,AIG,1,1,9,9,4,18,1,104,1.0,105.0,0.12607866199687123,25865,"AND(~AND(x0,AND(~AND(x1,x2),~AND(~x1,~x2))),~AND(~AND(x1,~x2),AND(~x0,~AND(~x1,x2))))",0,0,0,7.0
170,literal_x0,AIG,1,1,0,0,0,0,0,7,1.0,8.0,0.12607866199687123,25865,x0,1,1,1,0.0
216,mux3,AIG,1,1,3,3,2,6,1,35,1.0,36.0,0.12607866199687123,25865,"AND(~AND(x0,~x1),~AND(~x0,~x2))",0,0,0,1.0
232,majority3,AIG,1,1,4,4,3,8,1,52,1.0,53.0,0.12607866199687123,25865,"AND(~AND(~x0,~x1),~AND(~x2,~AND(x0,x1)))",0,0,0,3.0
254,or3,AIG,1,1,2,2,2,4,1,25,1.0,26.0,0.12607866199687123,25865,"~AND(~x0,AND(~x1,~x2))",1,1,1,0.0
0,zero,XAG,1,1,0,0,0,0,0,7,1.0,8.0,0.05249061796348542,11426,0,1,1,1,0.0
22,exactly_one3,XAG,1,1,4,4,3,8,1,56,1.0,57.0,0.05249061796348542,11426,"AND(~AND(x0,x1),XOR(x0,XOR(x1,x2)))",1,1,1,0.0
128,and3,XAG,1,1,2,2,2,4,1,27,1.0,28.0,0.05249061796348542,11426,"AND(x0,AND(x1,x2))",1,1,0,0.0
150,parity3,XAG,1,1,2,2,2,4,1,27,1.0,28.0,0.05249061796348542,11426,"XOR(x0,XOR(x1,x2))",1,1,1,0.0
170,literal_x0,XAG,1,1,0,0,0,0,0,7,1.0,8.0,0.05249061796348542,11426,x0,1,1,1,0.0
216,mux3,XAG,1,1,3,3,2,6,1,38,1.0,39.0,0.05249061796348542,11426,"AND(~AND(x0,~x1),~AND(~x0,~x2))",0,0,0,1.0
232,majority3,XAG,1,1,4,4,3,8,1,56,1.0,57.0,0.05249061796348542,11426,"AND(~AND(~x0,~x1),~AND(~x2,XOR(x0,x1)))",0,0,0,3.0
254,or3,XAG,1,1,2,2,2,4,1,27,1.0,28.0,0.05249061796348542,11426,"~AND(~x0,AND(~x1,~x2))",1,1,0,0.0
0,zero,MIG,1,1,0,0,0,0,0,7,1.0,8.0,0.15844620007555932,32184,0,1,1,1,0.0
22,exactly_one3,MIG,1,1,4,4,2,12,1,72,1.0,73.0,0.15844620007555932,32184,"MAJ(MAJ(~x0,~x1,~x2),MAJ(x0,x1,~x2),MAJ(~x0,x2,0))",1,1,0,0.0
128,and3,MIG,1,1,2,2,2,6,1,33,1.0,34.0,0.15844620007555932,32184,"MAJ(x0,0,MAJ(x1,x2,0))",1,1,0,0.0
150,parity3,MIG,1,1,3,3,2,9,1,47,1.0,48.0,0.15844620007555932,32184,"MAJ(x0,MAJ(~x0,~x1,~x2),MAJ(~x0,x1,x2))",0,0,0,1.0
170,literal_x0,MIG,1,1,0,0,0,0,0,7,1.0,8.0,0.15844620007555932,32184,x0,1,1,1,0.0
216,mux3,MIG,1,1,3,3,2,9,1,47,1.0,48.0,0.15844620007555932,32184,"MAJ(0,MAJ(~x0,x1,1),MAJ(x0,x2,1))",0,0,0,1.0
232,majority3,MIG,1,1,1,1,1,3,1,21,1.0,22.0,0.15844620007555932,32184,"MAJ(x0,x1,x2)",1,1,1,0.0
254,or3,MIG,1,1,2,2,2,6,1,33,1.0,34.0,0.15844620007555932,32184,"MAJ(x0,1,MAJ(x1,x2,1))",1,1,0,0.0
0,zero,MIXED,1,1,0,0,0,0,0,7,1.0,8.0,0.40621404303237796,85026,0,1,1,1,0.0
22,exactly_one3,MIXED,1,1,4,4,2,11,1,75,1.0,76.0,0.40621404303237796,85026,"MAJ(AND(x0,~x1),MAJ(~x0,~x1,~x2),MAJ(~x0,x1,x2))",1,1,0,0.0
128,and3,MIXED,1,1,2,2,2,4,1,29,1.0,30.0,0.40621404303237796,85026,"AND(x0,AND(x1,x2))",1,1,0,0.0
150,parity3,MIXED,1,1,2,2,2,4,1,29,1.0,30.0,0.40621404303237796,85026,"XOR(x0,XOR(x1,x2))",1,1,0,0.0
170,literal_x0,MIXED,1,1,0,0,0,0,0,7,1.0,8.0,0.40621404303237796,85026,x0,1,1,1,0.0
216,mux3,MIXED,1,1,2,2,2,5,1,33,1.0,34.0,0.40621404303237796,85026,"MAJ(x1,x2,XOR(x0,x2))",1,1,1,0.0
232,majority3,MIXED,1,1,1,1,1,3,1,23,1.0,24.0,0.40621404303237796,85026,"MAJ(x0,x1,x2)",1,1,0,0.0
254,or3,MIXED,1,1,2,2,2,6,1,37,1.0,38.0,0.40621404303237796,85026,"MAJ(x0,1,MAJ(x1,x2,1))",1,1,0,0.0
