basis,family,functions,exact_coverage,mean_formula_gate_refs,mean_observed_hashconsed_dag_upper_bound_gates,mean_basis_formula_dag_code_upper_bound_bits,formula_optimal_rate,smallest_observed_witness_code_rate
AIG,affine,8,1.0,4.5,4.5,52.25,0.0,0.0
AIG,constant,2,1.0,0.0,0.0,7.0,1.0,1.0
AIG,general,216,1.0,3.4444444444444446,3.375,42.851851851851855,0.3333333333333333,0.3333333333333333
AIG,literal,6,1.0,0.0,0.0,7.0,1.0,1.0
AIG,monotone,12,1.0,1.5,1.5,21.0,1.0,1.0
AIG,monotone_symmetric,3,1.0,2.6666666666666665,2.6666666666666665,34.0,0.6666666666666666,0.6666666666666666
AIG,symmetric,9,1.0,5.111111111111111,5.0,61.111111111111114,0.2222222222222222,0.2222222222222222
MIG,affine,8,1.0,3.0,3.0,47.0,0.0,0.0
MIG,constant,2,1.0,0.0,0.0,7.0,1.0,1.0
MIG,general,216,1.0,2.9444444444444446,2.9444444444444446,51.02777777777778,0.4166666666666667,0.027777777777777776
MIG,literal,6,1.0,0.0,0.0,7.0,1.0,1.0
MIG,monotone,12,1.0,1.5,1.5,27.0,1.0,0.0
MIG,monotone_symmetric,3,1.0,1.6666666666666667,1.6666666666666667,29.0,1.0,0.3333333333333333
MIG,symmetric,9,1.0,3.2222222222222223,3.2222222222222223,57.666666666666664,0.7777777777777778,0.1111111111111111
MIXED,affine,8,1.0,1.25,1.25,21.5,1.0,0.0
MIXED,constant,2,1.0,0.0,0.0,7.0,1.0,1.0
MIXED,general,216,1.0,2.2222222222222223,2.2222222222222223,36.620370370370374,1.0,0.1388888888888889
MIXED,literal,6,1.0,0.0,0.0,7.0,1.0,1.0
MIXED,monotone,12,1.0,1.5,1.5,27.666666666666668,1.0,0.0
MIXED,monotone_symmetric,3,1.0,1.6666666666666667,1.6666666666666667,29.666666666666668,1.0,0.0
MIXED,symmetric,9,1.0,2.7777777777777777,2.7777777777777777,51.666666666666664,1.0,0.2222222222222222
XAG,affine,8,1.0,1.25,1.25,20.25,1.0,1.0
XAG,constant,2,1.0,0.0,0.0,7.0,1.0,1.0
XAG,general,216,1.0,2.4444444444444446,2.4444444444444446,32.638888888888886,0.8333333333333334,0.5
XAG,literal,6,1.0,0.0,0.0,7.0,1.0,1.0
XAG,monotone,12,1.0,1.5,1.5,22.5,1.0,0.0
XAG,monotone_symmetric,3,1.0,2.6666666666666665,2.6666666666666665,36.666666666666664,0.6666666666666666,0.0
XAG,symmetric,9,1.0,3.3333333333333335,3.3333333333333335,45.55555555555556,0.6666666666666666,0.4444444444444444
