group,metric,numerator,denominator,value
sparse_table/all_tasks,task_exact_pass_at_1,1.0,400.0,0.0025
sparse_table/all_tasks,task_exact_pass_at_2,1.0,400.0,0.0025
sparse_table/all_tasks,identity_task_exact,0.0,400.0,0.0
sparse_table/all_tasks,solver_coverage,79.0,400.0,0.1975
sparse_table/all_tasks,posthoc_oracle_local_representability,72.0,400.0,0.18
sparse_table/all_pairs,pair_exact_pass_at_1,1.0,419.0,0.002386634844868735
sparse_table/all_pairs,pair_exact_pass_at_2,1.0,419.0,0.002386634844868735
sparse_table/supported_tasks,task_exact_pass_at_1,1.0,79.0,0.012658227848101266
sparse_table/supported_tasks,task_exact_pass_at_2,1.0,79.0,0.012658227848101266
sparse_table/compiled_tasks,semantic_equivalence,79.0,79.0,1.0
sparse_table/refusal_taxonomy,no_deterministic_local_rule,191.0,400.0,0.4775
sparse_table/refusal_taxonomy,selected,79.0,400.0,0.1975
sparse_table/refusal_taxonomy,unsupported_shape_change,130.0,400.0,0.325
program_all_tasks,task_exact_pass_at_1,1.0,400.0,0.0025
program_all_tasks,solver_coverage,1.0,400.0,0.0025
program_all_pairs,pair_exact_pass_at_1,1.0,419.0,0.002386634844868735
program_supported_tasks,task_exact_pass_at_1,1.0,1.0,1.0
program_refusal_taxonomy,no_exact_program,269.0,400.0,0.6725
program_refusal_taxonomy,selected,1.0,400.0,0.0025
program_refusal_taxonomy,unsupported_shape_change,130.0,400.0,0.325
two_family_lower_bound,task_exact_pass_at_2,2.0,400.0,0.005
