task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
794b24be,moore_r2,25,42,4542,8,4550,7433,2310,4,10,11,18,133794,41580,1.0,1.0,0.0,0.0,0.00013949605636298656,0.00015558593440800905,0.0027098009595647454,0.0027305909898132086,0.00385763100348413,0.0038711419329047203,,ARC-AGI-1,training
7e0986d6,von_neumann_r1,5,21,553,8,561,998,735,4,10,11,204,203592,149940,1.0,1.0,0.0,0.0,0.00034302507992833853,0.00035689794458448887,0.0008404329419136047,0.000893782009370625,0.0006072020623832941,0.0006263739196583629,,ARC-AGI-1,training
7f4411dc,von_neumann_r1,5,13,360,8,368,623,455,4,10,11,100,62300,45500,1.0,1.0,0.0,0.0,0.00018195295706391335,0.00019394198898226023,0.0004984720144420862,0.0005172699457034469,0.00037146906834095716,0.00039803492836654186,,ARC-AGI-1,training
810b9b61,moore_r2,25,58,6206,8,6214,11542,3190,4,10,11,144,1662048,459360,1.0,1.0,0.0,0.0,0.000451595988124609,0.0004622410051524639,0.0022247559390962124,0.0022394380066543818,0.0029191229259595275,0.004061311017721891,,ARC-AGI-1,training
85c4e7cd,moore_r1,9,196,7921,8,7929,13972,7644,4,10,11,196,2738512,1498224,1.0,1.0,0.0,0.0,0.0003978769527748227,0.0004141980316489935,0.007214030018076301,0.007235125987790525,0.0058697330532595515,0.0058863559970632195,,ARC-AGI-1,training
890034e9,von_neumann_r2,13,46,2677,8,2685,4893,1978,4,10,11,441,2157813,872298,1.0,1.0,0.0,0.0,0.0009722450049594045,0.001034124055877328,0.0024150339886546135,0.0024656510213389993,0.0020417029736563563,0.0020573079818859696,,ARC-AGI-1,training
913fb3ed,moore_r1,9,30,1276,8,1284,2440,1170,4,10,11,256,624640,299520,1.0,1.0,0.0,0.0,0.0005004149861633778,0.0005081190029159188,0.001393526908941567,0.001413743942975998,0.0010422359919175506,0.0010557250352576375,,ARC-AGI-1,training
91714a58,von_neumann_r1,5,196,4758,8,4766,9218,6860,4,10,11,256,2359808,1756160,1.0,1.0,0.0,0.0,0.0004385319771245122,0.0004541300004348159,0.007482984918169677,0.007526418077759445,0.0050688209012150764,0.005095405038446188,,ARC-AGI-1,training
93b581b8,moore_r2,25,41,4438,8,4446,7548,2255,4,10,11,36,271728,81180,1.0,1.0,0.0,0.0,0.0001456539612263441,0.000158573966473341,0.0013926130486652255,0.0014108640607446432,0.0019461510237306356,0.0019539390923455358,,ARC-AGI-1,training
952a094c,von_neumann_r2,13,24,1444,8,1452,2572,1032,4,10,11,100,257200,103200,1.0,1.0,0.0,0.0,0.0002453399356454611,0.0002566329203546047,0.0009208840783685446,0.0009782210690900683,0.0008633820107206702,0.0008996879914775491,,ARC-AGI-1,training
9565186b,center_wire_-1_+0,2,11,161,8,169,281,352,4,10,11,9,2529,3168,1.0,1.0,0.0,0.0,3.3942051231861115e-05,4.452292341738939e-05,0.00038263294845819473,0.00042767904233187437,0.0002528850454837084,0.00026237801648676395,,ARC-AGI-1,training
95990924,moore_r1,9,4,232,8,240,328,156,4,10,11,225,73800,35100,1.0,1.0,0.0,0.0,0.0004415669245645404,0.0004501580260694027,0.0002599409781396389,0.000273142009973526,0.00023450201842933893,0.0002474739449098706,,ARC-AGI-1,training
9dfd6313,moore_r2,25,18,2045,8,2053,3227,990,4,10,11,36,116172,35640,1.0,1.0,0.0,0.0,0.00014285894576460123,0.00015273108147084713,0.0006657110061496496,0.0006896129343658686,0.0009108439553529024,0.0009387449827045202,,ARC-AGI-1,training
9edfc990,von_neumann_r2,13,255,14386,8,14394,26725,10965,4,10,11,256,6841600,2807040,1.0,1.0,0.0,0.0,0.0005927890306338668,0.0006048940122127533,0.010326671996153891,0.010575764928944409,0.00927881000097841,0.00928852497600019,,ARC-AGI-1,training
a1570a43,moore_r2,25,58,6206,8,6214,11466,3190,4,10,11,80,917280,255200,1.0,1.0,0.0,0.0,0.0002703439677134156,0.0002831419697031379,0.0020446840208023787,0.0020770280389115214,0.0027609909884631634,0.002783020958304405,,ARC-AGI-1,training
a5313dff,von_neumann_r2,13,22,1332,8,1340,2405,946,4,10,11,81,194805,76626,1.0,1.0,0.0,0.0,0.00020989810582250357,0.0002201369497925043,0.000843557994812727,0.0008701300248503685,0.0007882460486143827,0.0008233139524236321,,ARC-AGI-1,training
a699fb00,von_neumann_r1,5,3,117,8,125,146,105,4,10,11,100,14600,10500,1.0,1.0,0.0,0.0,0.0001818080199882388,0.00019341905135661364,0.0001765700289979577,0.0001903800293803215,0.0001498389756307006,0.0001602099509909749,,ARC-AGI-1,training
a79310a0,center_wire_-1_+0,2,4,74,8,82,105,128,4,10,11,25,2625,3200,1.0,1.0,0.0,0.0,5.6058051995933056e-05,6.586592644453049e-05,0.00018479593563824892,0.00019982503727078438,0.00013856904115527868,0.00014775805175304413,,ARC-AGI-1,training
a85d4709,von_neumann_r1,5,30,769,8,777,1400,1050,4,10,11,9,12600,9450,1.0,1.0,0.0,0.0,4.0585058741271496e-05,5.0727976486086845e-05,0.0009515259880572557,0.0009953390108421445,0.00069405697286129,0.0006976979784667492,,ARC-AGI-1,training
a8d7556c,von_neumann_r2,13,62,3573,8,3581,6422,2666,4,10,11,324,2080728,863784,1.0,1.0,0.0,0.0,0.00074084906373173,0.0007634179200977087,0.002818766050040722,0.002859206055290997,0.0024807520676404238,0.00250180100556463,,ARC-AGI-1,training
a9f96cdd,moore_r1,9,14,635,8,643,1082,546,4,10,11,15,16230,8190,1.0,1.0,0.0,0.0,5.7030003517866135e-05,6.78549986332655e-05,0.0004921490326523781,0.0005128129851073027,0.0004298189887776971,0.0004446550738066435,,ARC-AGI-1,training
aabf363d,center,1,4,49,8,57,74,124,4,10,11,49,3626,6076,1.0,1.0,0.0,0.0,8.037197403609753e-05,8.931208867579699e-05,0.0001911899307742715,0.0002107640029862523,0.00013354502152651548,0.00014225102495402098,,ARC-AGI-1,training
aedd82e4,von_neumann_r1,5,3,117,8,125,145,105,4,10,11,20,2900,2100,1.0,1.0,0.0,0.0,5.555397365242243e-05,6.561307236552238e-05,0.0001597820082679391,0.00016863597556948662,0.00013498798944056034,0.00014372600708156824,,ARC-AGI-1,training
