active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,0.9428571428571428,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,syn_object_anchor,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.9428571428571428,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.9428571428571428,0.0,320,,von_neumann_r2,,,-1,1.0,,,,,,,,,selected,syn_object_anchor,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.9714285714285714,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.9428571428571428,0.0,3502,,moore_r2,,,-1,1.0,,,,,,,,,selected,syn_object_anchor,,,,,,,d4_bgpad_sparse,,
4,0.9428571428571428,0.0,none,,,,,cuda,5.402931355056353,480,0.9428571428571428,0.9428571428571428,0.0,0.0,1.0,37bfa63561380858f1ba5f64bf94573ff3a9700c13d22be16b0e42cb175c405e,2704,164,0,35,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,2,1.0,1,same,0.9428571428571428,0.0,0.0,0.0,4,1,trained,syn_object_anchor,35,,5740,1,[1],140,dl1,7,5
35,0.9428571428571428,0.0,none,,,,,cuda,6.760602100053802,480,0.9428571428571428,0.9428571428571428,0.0,0.0,1.0,38d27a3b2058a9bb20fcb45b76f4dd43c112435ca9883a33af2140f7b5facfa8,8888,484,0,35,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,7744,247808,0,1.0,1,same,0.9428571428571428,0.0,0.0,0.0,4,90,trained,syn_object_anchor,35,,16940,1,[1],140,dlo1,7,5
0,0.9428571428571428,0.0,none,65536,,,,cuda,2.5727324769832194,361,0.9714285714285714,1.0,1.0,1.0,,,,,0,35,0.0,0.0,0.0,0.0,0.0,,,,mlp,,65924,2109568,0,1.0,1,same,0.9714285714285714,0.0,0.0,0.0,4,90,trained,syn_object_anchor,35,2293760,,1,[null],140,mlpo1,7,5
