active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,-1,1.0,,,,,,,,,selected,84f2aca1,,,,,,,sparse,,
,,,d4,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,0.9861431870669746,0.25,529,,von_neumann_r1,,,-1,1.0,,,,,,,,,selected,84f2aca1,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,0.9861431870669746,0.25,529,,von_neumann_r1,,,-1,1.0,,,,,,,,,selected,84f2aca1,,,,,,,d4_bgpad_sparse,,
15,0.9861431870669746,0.25,d4,,,,,cuda,10.312934614950791,480,0.6666666666666666,0.7349884526558892,0.0,0.0,1.0,7a0424edd476332c6d8c7792b774f69fb38d6c73387f954b98074e5f55c5bc71,2704,164,0,156,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,2,1.0,1,same,0.8525641025641025,0.0,0.0,0.0,4,1,trained,84f2aca1,156,,25584,1,[null],624,dl1,16,16
44,0.9861431870669746,0.25,d4,,,,,cuda,12.494855067925528,480,0.7115384615384616,0.7664549653579676,0.25,0.0,1.0,5881ac0eccc385009fd2162c90bed2b58172fe219c531c50e2289855c25fbe4e,8376,484,0,156,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,7744,247808,0,1.0,1,same,0.7435897435897436,0.0,0.0,0.0,4,1,trained,84f2aca1,156,,75504,1,[null],624,dl1_wide,16,16
,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,-1,1.0,,,,,,,,,selected,bb43febb,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,1.0,1.0,68,,von_neumann_r1,,,-1,1.0,,,,,,,,,selected,bb43febb,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.84,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,1.0,1.0,68,,von_neumann_r1,,,-1,1.0,,,,,,,,,selected,bb43febb,,,,,,,d4_bgpad_sparse,,
11,1.0,1.0,none,,,,,cuda,5.612588948104531,480,0.71,0.785,0.0,0.0,1.0,f777ebb99868c35412c983f0f28123c2e8679918a21e87645af1b559b2301511,2704,164,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,0,1.0,1,same,0.73,0.0,0.0,0.0,4,1,trained,bb43febb,100,,16400,1,[null],400,dl1,10,10
37,1.0,1.0,none,,,,,cuda,6.3795253180433065,480,0.76,0.87,0.0,0.0,1.0,7bb7eeace871202888ec76939cb1228146ebbfc95502cb09d0accf8621c17ad5,8376,484,0,100,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,7744,247808,0,1.0,1,same,0.76,0.0,0.0,0.0,4,1,trained,bb43febb,100,,48400,1,[null],400,dl1_wide,10,10
