denominator,metric,numerator,value,variant
4,tasks,4,1.0,d4_bgpad_sparse
4,hard_task_exact,2.0,0.5,d4_bgpad_sparse
4,hard_demo_exact,4.0,1.0,d4_bgpad_sparse
4,tasks,4,1.0,d4_sparse
4,hard_task_exact,4.0,1.0,d4_sparse
4,hard_demo_exact,4.0,1.0,d4_sparse
4,tasks,4,1.0,dl1
4,hard_task_exact,1.0,0.25,dl1
4,hard_demo_exact,1.0,0.25,dl1
4,tasks,4,1.0,dl1_wide
4,hard_task_exact,1.0,0.25,dl1_wide
4,hard_demo_exact,1.0,0.25,dl1_wide
4,tasks,4,1.0,sparse
4,hard_task_exact,4.0,1.0,sparse
4,hard_demo_exact,4.0,1.0,sparse
