case,family,n_inputs,seed,samples,output_ones,output_entropy_bits,truth_table_bits,best_function_language,best_function_bits,anf_terms,anf_degree,anf_gate_upper,best_robdd_nodes,best_robdd_order,threshold_exact,minimum_formula_gates,minimum_formula_exact,language,model_bits,residual_bits,total_bits,errors,empirical_error,exact,detail,selected,raw_label_baseline_bits,safe_compression_gain_bits,occam_bound_iid_illustration_delta05
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,RawLabels,0,8,12,0,0.0,1.0,literal truth-table labels,1.0,12,0,
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,KTLabels,0,10,14,0,0.0,1.0,KT mixture over labels,0.0,12,0,
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,Constant,1,11,16,5,0.625,0.0,0,0.0,12,0,1.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,Constant,1,11,16,3,0.375,0.0,1,0.0,12,0,1.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,Literal,3,11,18,3,0.375,0.0,x0,0.0,12,0,1.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,SingleGate,5,7,16,1,0.125,0.0,x0 OR x1,0.0,12,0,0.8846897762653475
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,TruthTable,8,1,13,0,0.0,1.0,exact raw truth table,0.0,12,0,0.8408886088639109
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,ANF,12,1,17,0,0.0,1.0,4 nonzero coefficients,0.0,12,0,0.9382859093352461
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,ROBDD,35,1,40,0,0.0,1.0,"4 nodes; order=(0, 1, 2)",0.0,12,0,1.0
rule110,cellular_rule,3,-1,8,5,0.9544340029249649,8,TruthTable,11,4,3,6,4,0-1-2,0.0,4.0,1.0,ExactFormula,37,1,42,0,0.0,1.0,4 minimum formula gates; (x0 XOR (x1 AND (x0 NAND (x0 XOR x2)))),0.0,12,0,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,RawLabels,0,8,12,0,0.0,1.0,literal truth-table labels,1.0,12,0,
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,KTLabels,0,10,14,0,0.0,1.0,KT mixture over labels,0.0,12,0,
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,Constant,1,12,17,4,0.5,0.0,0,0.0,12,0,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,Constant,1,12,17,4,0.5,0.0,1,0.0,12,0,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,Literal,3,9,16,2,0.25,0.0,x0,0.0,12,0,0.9503464561144723
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,SingleGate,5,9,18,2,0.25,0.0,x0 AND x0,0.0,12,0,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,TruthTable,8,1,13,0,0.0,1.0,exact raw truth table,0.0,12,0,0.8408886088639109
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,ANF,11,1,16,0,0.0,1.0,3 nonzero coefficients,0.0,12,0,0.9149091478786695
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,ROBDD,35,1,40,0,0.0,1.0,"4 nodes; order=(0, 1, 2)",0.0,12,0,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,Threshold,17,1,22,0,0.0,1.0,"w=(1, 1, 1); t=2",0.0,12,0,1.0
majority3,threshold,3,-1,8,4,1.0,8,TruthTable,11,3,2,5,4,0-1-2,1.0,4.0,1.0,ExactFormula,37,1,42,0,0.0,1.0,4 minimum formula gates; (x0 XOR ((x0 XOR x2) AND (x0 XOR x1))),0.0,12,0,1.0
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,RawLabels,0,16,20,0,0.0,1.0,literal truth-table labels,1.0,20,0,
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,KTLabels,0,19,23,0,0.0,1.0,KT mixture over labels,0.0,20,0,
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,Constant,1,22,27,8,0.5,0.0,0,0.0,20,0,0.9493560731881274
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,Constant,1,22,27,8,0.5,0.0,1,0.0,20,0,0.9493560731881274
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,Literal,3,22,29,8,0.5,0.0,x0,0.0,20,0,0.9952197282985102
parity4,parity,4,-1,16,8,1.0,16,ANF,19,4,1,3,7,0-1-2-3,0.0,3.0,1.0,SingleGate,6,22,32,8,0.5,0.0,x0 AND x0,0.0,20,0,1.0
