experiment,task,method,seed,spatial_cells,steps,state_bits_per_cell,single_state_storage_bits,synchronous_double_buffer_bits,update_fraction,expected_cell_updates,evaluated_gates_per_cell,expected_gate_evaluations,total_network_gates,reachable_network_gates,active_network_gates,model_description_bits,amortized_model_bits_per_cell_update,residual_bits,total_description_bits,note
E19,eca_rule_30,ExactFormulaCircuit,19110,257,128,1,257,514,1.0,32896.0,2,65792.0,2,2,2,46,0.0013983463035019455,1,47,Formula-tree optimum under AND/OR/XOR/NAND; not a hardware minimum.
E19,eca_rule_30,Wolfram8BitLUT,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,34,0.0010335603112840467,1,35,One LUT lookup per cell update is recorded outside binary-gate evaluations.
E19,eca_rule_90,ExactFormulaCircuit,19110,257,128,1,257,514,1.0,32896.0,1,32896.0,1,1,1,39,0.0011855544747081711,1,40,Formula-tree optimum under AND/OR/XOR/NAND; not a hardware minimum.
E19,eca_rule_90,Wolfram8BitLUT,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,34,0.0010335603112840467,1,35,One LUT lookup per cell update is recorded outside binary-gate evaluations.
E19,eca_rule_110,ExactFormulaCircuit,19110,257,128,1,257,514,1.0,32896.0,4,131584.0,4,4,4,63,0.0019151264591439688,1,64,Formula-tree optimum under AND/OR/XOR/NAND; not a hardware minimum.
E19,eca_rule_110,Wolfram8BitLUT,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,34,0.0010335603112840467,1,35,One LUT lookup per cell update is recorded outside binary-gate evaluations.
E19,eca_rule_150,ExactFormulaCircuit,19110,257,128,1,257,514,1.0,32896.0,2,65792.0,2,2,2,46,0.0013983463035019455,1,47,Formula-tree optimum under AND/OR/XOR/NAND; not a hardware minimum.
E19,eca_rule_150,Wolfram8BitLUT,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,34,0.0010335603112840467,1,35,One LUT lookup per cell update is recorded outside binary-gate evaluations.
E19,eca_rule_184,ExactFormulaCircuit,19110,257,128,1,257,514,1.0,32896.0,3,98688.0,3,3,3,54,0.0016415369649805448,1,55,Formula-tree optimum under AND/OR/XOR/NAND; not a hardware minimum.
E19,eca_rule_184,Wolfram8BitLUT,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,34,0.0010335603112840467,1,35,One LUT lookup per cell update is recorded outside binary-gate evaluations.
E19,eca_rule_204,ExactFormulaCircuit,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,30,0.0009119649805447471,1,31,Formula-tree optimum under AND/OR/XOR/NAND; not a hardware minimum.
E19,eca_rule_204,Wolfram8BitLUT,19110,257,128,1,257,514,1.0,32896.0,0,0.0,0,0,0,34,0.0010335603112840467,1,35,One LUT lookup per cell update is recorded outside binary-gate evaluations.
E19,game_of_life,LifeLikeB3S23,-1,4096,64,1,4096,8192,1.0,262144.0,2,524288.0,2,2,2,41,0.000156402587890625,1,42,B/S rule is 18 bits; neighbor counting/comparisons are separate arithmetic work.
E20,density_classification,majority,0,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,1007,1163,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,0,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,948,1104,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,particle,0,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,739,895,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,gkl,0,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,698,854,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,global_synchronization,phi_sync,0,149000,299,1,149000,298000,1.0,44551000.0,0,0.0,0,0,0,156,3.501604902246863e-06,1,157,Success requires two uniform complementary consecutive states; no partial credit.
E20,global_synchronization,naive_oscillator,0,149000,299,1,149000,298000,1.0,44551000.0,0,0.0,0,0,0,156,3.501604902246863e-06,1006,1162,Success requires two uniform complementary consecutive states; no partial credit.
E20,density_classification,majority,1,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,1010,1166,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
E20,density_classification,block_expand,1,149000,298,1,149000,298000,1.0,44402000.0,0,0.0,0,0,0,156,3.5133552542678257e-06,924,1080,"128-bit radius-3 LUT paid once; dynamic column is LUT updates, not binary-gate PPA."
