case,code_family,samples,dimensions,global_bits,conditional_bits_side_info,signed_reduction_side_info_bits,gain_vs_global_route_side_info_bits,route_tag_bits,routed_global_baseline_bits,routed_best_bits,conditional_bits_labels_encoded,signed_reduction_labels_encoded_bits,label_code_bits,asymmetric_helper_control_bits,direct_global_bits
redundant_basis,IndependentKT,256,2,521,18,503,503,1,522,19,279,503,261,242,521
redundant_basis,JointDirichletKT,256,2,269,24,245,245,1,270,25,285,245,261,-16,269
invertible_xor_basis,IndependentKT,256,2,266,18,248,248,1,267,19,279,248,261,-13,266
invertible_xor_basis,JointDirichletKT,256,2,269,24,245,245,1,270,25,285,245,261,-16,269
label_plus_noise,IndependentKT,256,2,521,274,247,247,1,522,275,535,247,261,-14,521
label_plus_noise,JointDirichletKT,256,2,524,278,246,246,1,525,279,539,246,261,-15,524
constant_irrelevant_labels,IndependentKT,256,2,10,18,-8,0,1,11,11,279,-8,261,-269,10
constant_irrelevant_labels,JointDirichletKT,256,2,13,24,-11,0,1,14,14,285,-11,261,-272,13
