experiment,n_bits,seed,method,exact_probability,estimate,absolute_error,elapsed_ms,notes
parity_wmc_scaling,4,0,ExactEnumeration,0.5037219288058216,0.5037219288058216,0.0,0.0397,2^n assignments
parity_wmc_scaling,4,0,ClosedFormSoftSemiring,0.5037219288058216,0.5037219288058216,0.0,0.0098,independent Bernoulli parity identity
parity_wmc_scaling,4,0,HardThreshold,0.5037219288058216,1.0,0.49627807119417844,,threshold inputs then Boolean parity
shared_wire_dependency,1,0,AND_exact_shared,0.37861866719453485,0.14335209514816594,0.23526657204636892,,naive independent-wire product is invalid
shared_wire_dependency,1,0,OR_exact_shared,0.37861866719453485,0.6138852392409038,0.23526657204636892,,duplicate wire creates correlation
parity_wmc_scaling,4,1,ExactEnumeration,0.5025597209987337,0.5025597209987337,0.0,0.0186,2^n assignments
parity_wmc_scaling,4,1,ClosedFormSoftSemiring,0.5025597209987337,0.5025597209987337,0.0,0.0077,independent Bernoulli parity identity
parity_wmc_scaling,4,1,HardThreshold,0.5025597209987337,1.0,0.4974402790012663,,threshold inputs then Boolean parity
shared_wire_dependency,1,1,AND_exact_shared,0.13459993352423877,0.018117142104729495,0.11648279141950928,,naive independent-wire product is invalid
shared_wire_dependency,1,1,OR_exact_shared,0.13459993352423877,0.25108272494374795,0.11648279141950918,,duplicate wire creates correlation
parity_wmc_scaling,4,2,ExactEnumeration,0.5031223655899275,0.5031223655899275,0.0,0.016,2^n assignments
parity_wmc_scaling,4,2,ClosedFormSoftSemiring,0.5031223655899275,0.5031223655899274,1.1102230246251565e-16,0.0072,independent Bernoulli parity identity
parity_wmc_scaling,4,2,HardThreshold,0.5031223655899275,1.0,0.4968776344100725,,threshold inputs then Boolean parity
shared_wire_dependency,1,2,AND_exact_shared,0.3910317045825721,0.15290579398875193,0.23812591059382016,,naive independent-wire product is invalid
shared_wire_dependency,1,2,OR_exact_shared,0.3910317045825721,0.6291576151763922,0.23812591059382016,,duplicate wire creates correlation
parity_wmc_scaling,4,3,ExactEnumeration,0.4887047158721532,0.4887047158721532,0.0,0.0157,2^n assignments
parity_wmc_scaling,4,3,ClosedFormSoftSemiring,0.4887047158721532,0.4887047158721532,0.0,0.0073,independent Bernoulli parity identity
parity_wmc_scaling,4,3,HardThreshold,0.4887047158721532,0.0,0.4887047158721532,,threshold inputs then Boolean parity
shared_wire_dependency,1,3,AND_exact_shared,0.30381291076883254,0.09230228474983061,0.21151062601900195,,naive independent-wire product is invalid
shared_wire_dependency,1,3,OR_exact_shared,0.30381291076883254,0.5153235367878345,0.21151062601900195,,duplicate wire creates correlation
parity_wmc_scaling,4,4,ExactEnumeration,0.4488814256334661,0.4488814256334661,0.0,0.0154,2^n assignments
parity_wmc_scaling,4,4,ClosedFormSoftSemiring,0.4488814256334661,0.44888142563346606,5.551115123125783e-17,0.0076,independent Bernoulli parity identity
parity_wmc_scaling,4,4,HardThreshold,0.4488814256334661,0.0,0.4488814256334661,,threshold inputs then Boolean parity
shared_wire_dependency,1,4,AND_exact_shared,0.14623740119724105,0.02138537750892284,0.12485202368831821,,naive independent-wire product is invalid
shared_wire_dependency,1,4,OR_exact_shared,0.14623740119724105,0.2710894248855592,0.12485202368831816,,duplicate wire creates correlation
parity_wmc_scaling,8,0,ExactEnumeration,0.5001235365738688,0.5001235365738688,0.0,0.0259,2^n assignments
parity_wmc_scaling,8,0,ClosedFormSoftSemiring,0.5001235365738688,0.5001235365738688,0.0,0.0074,independent Bernoulli parity identity
parity_wmc_scaling,8,0,HardThreshold,0.5001235365738688,1.0,0.49987646342613123,,threshold inputs then Boolean parity
shared_wire_dependency,1,0,AND_exact_shared,0.675448836709667,0.45623113101244245,0.2192177056972246,,naive independent-wire product is invalid
shared_wire_dependency,1,0,OR_exact_shared,0.675448836709667,0.8946665424068916,0.21921770569722454,,duplicate wire creates correlation
parity_wmc_scaling,8,1,ExactEnumeration,0.5000018328578545,0.5000018328578545,0.0,0.0253,2^n assignments
parity_wmc_scaling,8,1,ClosedFormSoftSemiring,0.5000018328578545,0.5000018328578545,0.0,0.0071,independent Bernoulli parity identity
parity_wmc_scaling,8,1,HardThreshold,0.5000018328578545,1.0,0.4999981671421455,,threshold inputs then Boolean parity
shared_wire_dependency,1,1,AND_exact_shared,0.8335565269862552,0.6948164836813875,0.13874004330486767,,naive independent-wire product is invalid
shared_wire_dependency,1,1,OR_exact_shared,0.8335565269862552,0.9722965702911228,0.13874004330486767,,duplicate wire creates correlation
parity_wmc_scaling,8,2,ExactEnumeration,0.49999792328429615,0.49999792328429615,0.0,0.0243,2^n assignments
parity_wmc_scaling,8,2,ClosedFormSoftSemiring,0.49999792328429615,0.4999979232842962,5.551115123125783e-17,0.007,independent Bernoulli parity identity
parity_wmc_scaling,8,2,HardThreshold,0.49999792328429615,0.0,0.49999792328429615,,threshold inputs then Boolean parity
shared_wire_dependency,1,2,AND_exact_shared,0.2658429128605694,0.07067245431819229,0.19517045854237708,,naive independent-wire product is invalid
shared_wire_dependency,1,2,OR_exact_shared,0.2658429128605694,0.4610133714029465,0.19517045854237713,,duplicate wire creates correlation
parity_wmc_scaling,8,3,ExactEnumeration,0.49998901138417373,0.49998901138417373,0.0,0.0247,2^n assignments
parity_wmc_scaling,8,3,ClosedFormSoftSemiring,0.49998901138417373,0.49998901138417373,0.0,0.0071,independent Bernoulli parity identity
parity_wmc_scaling,8,3,HardThreshold,0.49998901138417373,0.0,0.49998901138417373,,threshold inputs then Boolean parity
shared_wire_dependency,1,3,AND_exact_shared,0.6680133197906049,0.4462417954176649,0.22177152437293995,,naive independent-wire product is invalid
shared_wire_dependency,1,3,OR_exact_shared,0.6680133197906049,0.8897848441635448,0.2217715243729399,,duplicate wire creates correlation
parity_wmc_scaling,8,4,ExactEnumeration,0.5032193140613075,0.5032193140613075,0.0,0.0245,2^n assignments
parity_wmc_scaling,8,4,ClosedFormSoftSemiring,0.5032193140613075,0.5032193140613075,0.0,0.0071,independent Bernoulli parity identity
parity_wmc_scaling,8,4,HardThreshold,0.5032193140613075,1.0,0.4967806859386925,,threshold inputs then Boolean parity
shared_wire_dependency,1,4,AND_exact_shared,0.2750496107055924,0.07565228834929794,0.19939732235629448,,naive independent-wire product is invalid
shared_wire_dependency,1,4,OR_exact_shared,0.2750496107055924,0.4744469330618869,0.19939732235629448,,duplicate wire creates correlation
parity_wmc_scaling,12,0,ExactEnumeration,0.5000000215077758,0.5000000215077758,0.0,0.252,2^n assignments
parity_wmc_scaling,12,0,ClosedFormSoftSemiring,0.5000000215077758,0.5000000215077758,0.0,0.0106,independent Bernoulli parity identity
parity_wmc_scaling,12,0,HardThreshold,0.5000000215077758,1.0,0.4999999784922242,,threshold inputs then Boolean parity
shared_wire_dependency,1,0,AND_exact_shared,0.16414392554626192,0.026943228293736778,0.13720069725252515,,naive independent-wire product is invalid
shared_wire_dependency,1,0,OR_exact_shared,0.16414392554626192,0.30134462279878704,0.13720069725252512,,duplicate wire creates correlation
parity_wmc_scaling,12,1,ExactEnumeration,0.5000002204189011,0.5000002204189011,0.0,0.1906,2^n assignments
parity_wmc_scaling,12,1,ClosedFormSoftSemiring,0.5000002204189011,0.5000002204189011,0.0,0.0079,independent Bernoulli parity identity
parity_wmc_scaling,12,1,HardThreshold,0.5000002204189011,1.0,0.49999977958109887,,threshold inputs then Boolean parity
shared_wire_dependency,1,1,AND_exact_shared,0.4275230124099786,0.1827759261401027,0.24474708626987587,,naive independent-wire product is invalid
shared_wire_dependency,1,1,OR_exact_shared,0.4275230124099786,0.6722700986798544,0.24474708626987585,,duplicate wire creates correlation
parity_wmc_scaling,12,2,ExactEnumeration,0.5000086302133138,0.5000086302133138,0.0,0.1754,2^n assignments
parity_wmc_scaling,12,2,ClosedFormSoftSemiring,0.5000086302133138,0.5000086302133139,1.1102230246251565e-16,0.0078,independent Bernoulli parity identity
parity_wmc_scaling,12,2,HardThreshold,0.5000086302133138,1.0,0.49999136978668623,,threshold inputs then Boolean parity
shared_wire_dependency,1,2,AND_exact_shared,0.696428816911606,0.4850130970248992,0.21141571988670677,,naive independent-wire product is invalid
shared_wire_dependency,1,2,OR_exact_shared,0.696428816911606,0.9078445367983128,0.21141571988670682,,duplicate wire creates correlation
parity_wmc_scaling,12,3,ExactEnumeration,0.5000001651023495,0.5000001651023495,0.0,0.1741,2^n assignments
parity_wmc_scaling,12,3,ClosedFormSoftSemiring,0.5000001651023495,0.5000001651023496,1.1102230246251565e-16,0.0077,independent Bernoulli parity identity
parity_wmc_scaling,12,3,HardThreshold,0.5000001651023495,1.0,0.49999983489765054,,threshold inputs then Boolean parity
shared_wire_dependency,1,3,AND_exact_shared,0.4524055773481256,0.20467080641569085,0.24773477093243473,,naive independent-wire product is invalid
shared_wire_dependency,1,3,OR_exact_shared,0.4524055773481256,0.7001403482805604,0.2477347709324348,,duplicate wire creates correlation
parity_wmc_scaling,12,4,ExactEnumeration,0.5000004960961161,0.5000004960961161,0.0,0.1759,2^n assignments
parity_wmc_scaling,12,4,ClosedFormSoftSemiring,0.5000004960961161,0.500000496096116,1.1102230246251565e-16,0.0078,independent Bernoulli parity identity
parity_wmc_scaling,12,4,HardThreshold,0.5000004960961161,1.0,0.4999995039038839,,threshold inputs then Boolean parity
shared_wire_dependency,1,4,AND_exact_shared,0.623301041440297,0.38850418826055877,0.2347968531797382,,naive independent-wire product is invalid
shared_wire_dependency,1,4,OR_exact_shared,0.623301041440297,0.8580978946200352,0.2347968531797382,,duplicate wire creates correlation
parity_wmc_scaling,16,0,ExactEnumeration,0.5000001491184952,0.5000001491184952,0.0,5.3997,2^n assignments
parity_wmc_scaling,16,0,ClosedFormSoftSemiring,0.5000001491184952,0.5000001491184952,0.0,0.0196,independent Bernoulli parity identity
parity_wmc_scaling,16,0,HardThreshold,0.5000001491184952,1.0,0.4999998508815048,,threshold inputs then Boolean parity
shared_wire_dependency,1,0,AND_exact_shared,0.24889622819190294,0.06194933240815582,0.18694689578374712,,naive independent-wire product is invalid
shared_wire_dependency,1,0,OR_exact_shared,0.24889622819190294,0.43584312397565006,0.18694689578374712,,duplicate wire creates correlation
parity_wmc_scaling,16,1,ExactEnumeration,0.4999999999787809,0.4999999999787809,0.0,6.4631,2^n assignments
parity_wmc_scaling,16,1,ClosedFormSoftSemiring,0.4999999999787809,0.49999999997878086,5.551115123125783e-17,0.0231,independent Bernoulli parity identity
parity_wmc_scaling,16,1,HardThreshold,0.4999999999787809,0.0,0.4999999999787809,,threshold inputs then Boolean parity
shared_wire_dependency,1,1,AND_exact_shared,0.6205584247602977,0.385092758540982,0.23546566621931564,,naive independent-wire product is invalid
shared_wire_dependency,1,1,OR_exact_shared,0.6205584247602977,0.8560240909796133,0.23546566621931564,,duplicate wire creates correlation
parity_wmc_scaling,16,2,ExactEnumeration,0.4999999999972985,0.4999999999972985,0.0,5.6609,2^n assignments
parity_wmc_scaling,16,2,ClosedFormSoftSemiring,0.4999999999972985,0.49999999999729844,5.551115123125783e-17,0.0234,independent Bernoulli parity identity
parity_wmc_scaling,16,2,HardThreshold,0.4999999999972985,0.0,0.4999999999972985,,threshold inputs then Boolean parity
shared_wire_dependency,1,2,AND_exact_shared,0.56138370482445,0.3151516640424252,0.24623204078202482,,naive independent-wire product is invalid
shared_wire_dependency,1,2,OR_exact_shared,0.56138370482445,0.8076157456064748,0.24623204078202476,,duplicate wire creates correlation
parity_wmc_scaling,16,3,ExactEnumeration,0.499999999999575,0.499999999999575,0.0,5.5078,2^n assignments
parity_wmc_scaling,16,3,ClosedFormSoftSemiring,0.499999999999575,0.499999999999575,0.0,0.0222,independent Bernoulli parity identity
parity_wmc_scaling,16,3,HardThreshold,0.499999999999575,0.0,0.499999999999575,,threshold inputs then Boolean parity
shared_wire_dependency,1,3,AND_exact_shared,0.5823008519689836,0.3390742822038042,0.24322656976517942,,naive independent-wire product is invalid
shared_wire_dependency,1,3,OR_exact_shared,0.5823008519689836,0.825527421734163,0.24322656976517942,,duplicate wire creates correlation
parity_wmc_scaling,16,4,ExactEnumeration,0.49999999022779684,0.49999999022779684,0.0,7.7316,2^n assignments
parity_wmc_scaling,16,4,ClosedFormSoftSemiring,0.49999999022779684,0.49999999022779673,1.1102230246251565e-16,0.0406,independent Bernoulli parity identity
parity_wmc_scaling,16,4,HardThreshold,0.49999999022779684,0.0,0.49999999022779684,,threshold inputs then Boolean parity
shared_wire_dependency,1,4,AND_exact_shared,0.8546720801914355,0.7304643646587555,0.12420771553267995,,naive independent-wire product is invalid
shared_wire_dependency,1,4,OR_exact_shared,0.8546720801914355,0.9788797957241154,0.12420771553267995,,duplicate wire creates correlation
