scope,train_fraction,seed,width,layers,queries,method,accuracy,balanced_accuracy,positive_accuracy,negative_accuracy,median_query_ms,iqr_query_ms
learned_gate_bfs,0.5,2,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0623,0.005374999999999991
learned_gate_bfs,0.5,2,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0589,0.001224999999999997
learned_gate_bfs,0.5,2,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0248,0.0049999999999999975
learned_gate_bfs,0.5,2,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0212,0.0008000000000000021
learned_gate_bfs,0.5,2,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0452,0.006450000000000004
learned_gate_bfs,0.5,2,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0405,0.0013999999999999985
learned_gate_bfs,0.5,2,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0726,0.013524999999999995
learned_gate_bfs,0.5,2,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.06384999999999999,0.0020000000000000018
learned_gate_bfs,0.5,2,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.032600000000000004,0.0131
learned_gate_bfs,0.5,2,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0235,0.0014249999999999992
learned_gate_bfs,0.5,2,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0526,0.014875000000000006
learned_gate_bfs,0.5,2,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0443,0.0015249999999999916
learned_gate_bfs,0.5,2,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.08145,0.02472500000000001
learned_gate_bfs,0.5,2,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0656,0.002024999999999999
learned_gate_bfs,0.5,3,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.024149999999999998,0.004199999999999999
learned_gate_bfs,0.5,3,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0208,0.0006999999999999992
learned_gate_bfs,0.5,3,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0436,0.005049999999999999
learned_gate_bfs,0.5,3,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0403,0.0013249999999999998
learned_gate_bfs,0.5,3,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0623,0.0052249999999999935
learned_gate_bfs,0.5,3,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0588,0.0010000000000000009
learned_gate_bfs,0.5,3,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02475,0.004825000000000003
learned_gate_bfs,0.5,3,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0214,0.0007999999999999986
learned_gate_bfs,0.5,3,16,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04645,0.0068000000000000005
learned_gate_bfs,0.5,3,16,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0414,0.0013000000000000025
learned_gate_bfs,0.5,3,16,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.07400000000000001,0.017200000000000007
learned_gate_bfs,0.5,3,16,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.06475,0.0019249999999999962
learned_gate_bfs,0.5,3,32,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.029949999999999997,0.019725000000000003
learned_gate_bfs,0.5,3,32,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0238,0.0017000000000000001
learned_gate_bfs,0.5,3,32,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.05645,0.023225000000000003
learned_gate_bfs,0.5,3,32,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0448,0.0018250000000000072
learned_gate_bfs,0.5,3,32,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0822,0.02794999999999999
learned_gate_bfs,0.5,3,32,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0658,0.0023250000000000076
learned_gate_bfs,0.5,4,8,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.02495,0.004199999999999999
learned_gate_bfs,0.5,4,8,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0217,0.000725
learned_gate_bfs,0.5,4,8,8,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.04345,0.004700000000000003
learned_gate_bfs,0.5,4,8,8,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.04125,0.0012749999999999984
learned_gate_bfs,0.5,4,8,12,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0623,0.004900000000000002
learned_gate_bfs,0.5,4,8,12,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.0586,0.0010999999999999968
learned_gate_bfs,0.5,4,16,4,120,LearnedSoftGate+BFS,1.0,1.0,1.0,1.0,0.0246,0.0043250000000000025
learned_gate_bfs,0.5,4,16,4,120,LearnedHardenedGate+BFS,1.0,1.0,1.0,1.0,0.021,0.0007999999999999986
