suite,seed,task,method,test_balanced_accuracy,operator_recovered,inputs_recovered,topology_recovered,rejected_hardening,description_bits,gate_count,fit_seconds,margin,rate_score,inference_us_per_1000,train_balanced_accuracy,validation_balanced_accuracy,probability_mse,soft_probability_mse
multi_rule_distractors,0,AND,FixedAND,0.7104454685099846,,,,,2,1.0,0.0,,,1.6065314412117004,,,,
multi_rule_distractors,0,AND,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05853734305128455,0.9878536719897867,,4.109053406864405,,,,
multi_rule_distractors,0,AND,RateGuidedGateSelector,0.7104454685099846,1.0,0.0,,,7,1.0,0.0,,0.0,2.2129970602691174,,,,
multi_rule_distractors,0,AND,TinyMLP,1.0,,,,,5152,,0.10580762010067701,,,127.77606025338173,,,,
multi_rule_distractors,0,OR,FixedAND,0.6785714285714286,,,,,2,1.0,0.0,,,1.6030389815568924,,,,
multi_rule_distractors,0,OR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.05145167303271592,0.9865777219075712,,4.157016519457102,,,,
multi_rule_distractors,0,OR,RateGuidedGateSelector,0.6785714285714286,0.0,0.0,,,7,1.0,0.0,,0.0,2.0730076357722282,,,,
multi_rule_distractors,0,OR,TinyMLP,1.0,,,,,5152,,0.08603718096856028,,,95.01900058239698,,,,
multi_rule_distractors,0,XOR,FixedAND,0.5155155155155156,,,,,2,1.0,0.0,,,1.5884870663285255,,,,
multi_rule_distractors,0,XOR,DifferentiableGateSelector,1.0,1.0,1.0,,,7,1.0,0.03311387589201331,0.9862700041246499,,4.211498890072107,,,,
multi_rule_distractors,0,XOR,RateGuidedGateSelector,0.5155155155155156,0.0,0.0,,,7,1.0,0.0,,0.0,2.061016857624054,,,,
multi_rule_distractors,0,XOR,TinyMLP,1.0,,,,,5152,,0.08270770695526153,,,96.87547571957111,,,,
multi_rule_distractors,0,NAND,FixedAND,0.5057416267942584,,,,,2,1.0,0.0,,,1.6255071386694908,,,,
