experiment,task,case,method,seed,samples,local_accuracy,local_balanced_accuracy,gate_count,depth,model_bits,truth_table_bits,expression,cell_accuracy,exact_trajectory,first_divergence_step,exact_final_state,exact_step_fraction,fit_seconds
E19,eca_catalog,rule_0,ExactFormulaCatalog,-1,8,1.0,1.0,0,0.0,4.0,8,0,1.0,1.0,-1.0,,,
E19,eca_catalog,rule_1,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(1 XOR (x0 OR (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_2,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x0 AND (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_3,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(1 XOR (x1 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_4,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x1 AND (x0 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_5,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(1 XOR (x0 OR x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_6,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x2 OR (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_7,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x2 OR (x0 NAND x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_8,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 AND (x1 AND (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_9,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(1 XOR (x2 OR (x0 XOR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_10,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x0 XOR (x0 AND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_11,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x1 XOR (x2 XOR (x1 NAND (x0 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_12,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(x1 XOR (x1 AND x2)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_13,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x2 XOR (x0 NAND (x1 OR x2)))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_14,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x0 OR (x1 OR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_15,ExactFormulaCatalog,-1,8,1.0,1.0,1,1.0,13.0,8,(x2 NAND x2),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_16,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x2 XOR (x2 AND (x0 OR x1))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_17,ExactFormulaCatalog,-1,8,1.0,1.0,2,2.0,20.0,8,(1 XOR (x0 OR x1)),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_18,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x1 OR (x0 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_19,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x1 XOR (x1 OR (x0 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_20,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x0 OR (x1 XOR x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_21,ExactFormulaCatalog,-1,8,1.0,1.0,3,3.0,28.0,8,(x0 XOR (x0 OR (x1 NAND x2))),1.0,1.0,-1.0,,,
E19,eca_catalog,rule_22,ExactFormulaCatalog,-1,8,1.0,1.0,4,4.0,37.0,8,(x0 XOR (x1 XOR (x2 AND (x0 NAND x1)))),1.0,1.0,-1.0,,,
