width,path_length,queries,method,accuracy,balanced_accuracy,positive_accuracy,negative_accuracy,median_query_ms,mean_loop_iterations,shortest_path
8,2,200,FixedK=4StateUnroll,1.0,1.0,1.0,1.0,0.0246,3.36,2
8,2,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.0463,3.36,2
8,4,200,FixedK=4StateUnroll,1.0,1.0,1.0,1.0,0.026,4.53,4
8,4,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.0681,4.53,4
8,6,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.0263,6.68,5
8,6,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.09365000000000001,6.68,5
16,2,200,FixedK=4StateUnroll,1.0,1.0,1.0,1.0,0.0265,4.0,2
16,2,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.0575,4.0,2
16,4,200,FixedK=4StateUnroll,1.0,1.0,1.0,1.0,0.0281,5.46,3
16,4,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.0761,5.46,3
16,6,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.0271,7.22,6
16,6,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.0977,7.22,6
16,8,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.0289,7.87,7
16,8,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.12745,7.87,7
16,12,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.0298,8.91,9
16,12,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.1477,8.91,9
32,2,200,FixedK=4StateUnroll,1.0,1.0,1.0,1.0,0.0298,5.05,2
32,2,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.07875,5.05,2
32,4,200,FixedK=4StateUnroll,1.0,1.0,1.0,1.0,0.0304,6.14,4
32,4,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.0936,6.14,4
32,6,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.033600000000000005,7.81,6
32,6,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.1478,7.81,6
32,8,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.0293,9.17,8
32,8,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.1373,9.17,8
32,12,200,FixedK=4StateUnroll,0.5,0.5,0.0,1.0,0.0291,9.86,6
32,12,200,LoopedStateTransition,1.0,1.0,1.0,1.0,0.13725,9.86,6
