seed,condition,grid_size,samples,method,accuracy,balanced_accuracy,brier,cell_grounding_accuracy,cell_grounding_ece,source_localization_accuracy,target_localization_accuracy,fallback_rate,soft_threshold,confidence_threshold,encoder_ms_per_image,median_solver_ms,selected_gate,encoder_temperature,encoder_fit_seconds,gate_fit_seconds
0,clean,8,400,OracleBFS,1.0,1.0,0.0,1.0,9.992007221626409e-16,1.0,1.0,0.0,0.0001268961003167922,0.1,0.029580999980680645,0.0324,AND,0.08,0.5968126999214292,5.111591199878603
0,clean,8,400,HardNeuroSymbolic,1.0,1.0,0.0,1.0,9.992007221626409e-16,1.0,1.0,0.0,0.0001268961003167922,0.1,0.029580999980680645,0.03415,AND,0.08,0.5968126999214292,5.111591199878603
0,clean,8,400,SoftNeuroSymbolic,1.0,1.0,0.0006455735032510029,1.0,9.992007221626409e-16,1.0,1.0,0.0,0.0001268961003167922,0.1,0.029580999980680645,0.10045000000000001,AND,0.08,0.5968126999214292,5.111591199878603
0,clean,8,400,HybridFallback,1.0,1.0,0.0,1.0,9.992007221626409e-16,1.0,1.0,0.0,0.0001268961003167922,0.1,0.029580999980680645,0.03415,AND,0.08,0.5968126999214292,5.111591199878603
0,correlated_occlusion,8,400,OracleBFS,1.0,1.0,0.0,0.981015625,0.0172337579248643,0.9875,0.9975,0.0,0.0001268961003167922,0.1,0.028464749921113253,0.0332,AND,0.08,0.5968126999214292,5.111591199878603
0,correlated_occlusion,8,400,HardNeuroSymbolic,0.9525,0.9525,0.0475,0.981015625,0.0172337579248643,0.9875,0.9975,0.0,0.0001268961003167922,0.1,0.028464749921113253,0.0341,AND,0.08,0.5968126999214292,5.111591199878603
0,correlated_occlusion,8,400,SoftNeuroSymbolic,0.975,0.975,0.04396065311971544,0.981015625,0.0172337579248643,0.9875,0.9975,0.0,0.0001268961003167922,0.1,0.028464749921113253,0.1057,AND,0.08,0.5968126999214292,5.111591199878603
0,correlated_occlusion,8,400,HybridFallback,0.9775,0.9775,0.04609023542256496,0.981015625,0.0172337579248643,0.9875,0.9975,0.11,0.0001268961003167922,0.1,0.028464749921113253,0.03535,AND,0.08,0.5968126999214292,5.111591199878603
0,size_ood,10,400,OracleBFS,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.1,0.049337499658577144,0.0492,AND,0.08,0.5968126999214292,5.111591199878603
0,size_ood,10,400,HardNeuroSymbolic,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.1,0.049337499658577144,0.0517,AND,0.08,0.5968126999214292,5.111591199878603
0,size_ood,10,400,SoftNeuroSymbolic,1.0,1.0,0.001085819991019842,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.1,0.049337499658577144,0.1366,AND,0.08,0.5968126999214292,5.111591199878603
0,size_ood,10,400,HybridFallback,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.1,0.049337499658577144,0.0517,AND,0.08,0.5968126999214292,5.111591199878603
1,clean,8,400,OracleBFS,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027476499672047794,0.0315,AND,0.08,0.5808507001493126,5.430492900079116
1,clean,8,400,HardNeuroSymbolic,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027476499672047794,0.03345,AND,0.08,0.5808507001493126,5.430492900079116
1,clean,8,400,SoftNeuroSymbolic,1.0,1.0,0.0005780988179564909,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027476499672047794,0.10255,AND,0.08,0.5808507001493126,5.430492900079116
1,clean,8,400,HybridFallback,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027476499672047794,0.03345,AND,0.08,0.5808507001493126,5.430492900079116
1,correlated_occlusion,8,400,OracleBFS,1.0,1.0,0.0,0.9824609375,0.016782346727323944,0.99,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027198499883525074,0.0314,AND,0.08,0.5808507001493126,5.430492900079116
1,correlated_occlusion,8,400,HardNeuroSymbolic,0.925,0.925,0.075,0.9824609375,0.016782346727323944,0.99,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027198499883525074,0.0336,AND,0.08,0.5808507001493126,5.430492900079116
1,correlated_occlusion,8,400,SoftNeuroSymbolic,0.9375,0.9375,0.06755825234909196,0.9824609375,0.016782346727323944,0.99,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.027198499883525074,0.10075,AND,0.08,0.5808507001493126,5.430492900079116
1,correlated_occlusion,8,400,HybridFallback,0.945,0.9450000000000001,0.07339967955609827,0.9824609375,0.016782346727323944,0.99,1.0,0.11,0.0001268961003167922,0.45600000000000007,0.027198499883525074,0.0344,AND,0.08,0.5808507001493126,5.430492900079116
1,size_ood,10,400,OracleBFS,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0001268961003167922,0.45600000000000007,0.04781399969942868,0.0499,AND,0.08,0.5808507001493126,5.430492900079116
