truth_mask,minimum_formula_gates,parity4_minimum_formula_gates,no_more_complex_than_parity
43690,0,3,1.0
52428,0,3,1.0
61680,0,3,1.0
65280,0,3,1.0
21845,1,3,1.0
26214,1,3,1.0
23130,1,3,1.0
21930,1,3,1.0
13107,1,3,1.0
15420,1,3,1.0
13260,1,3,1.0
3855,1,3,1.0
4080,1,3,1.0
255,1,3,1.0
39321,2,3,1.0
27242,2,3,1.0
22102,2,3,1.0
38550,2,3,1.0
38293,2,3,1.0
26282,2,3,1.0
21862,2,3,1.0
39270,2,3,1.0
39253,2,3,1.0
42405,2,3,1.0
23210,2,3,1.0
21850,2,3,1.0
42330,2,3,1.0
42325,2,3,1.0
43605,2,3,1.0
27756,2,3,1.0
13878,2,3,1.0
37779,2,3,1.0
26316,2,3,1.0
13158,2,3,1.0
39219,2,3,1.0
50115,2,3,1.0
15564,2,3,1.0
13116,2,3,1.0
49980,2,3,1.0
49971,2,3,1.0
52275,2,3,1.0
30840,2,3,1.0
7710,2,3,1.0
34695,2,3,1.0
23280,2,3,1.0
3930,2,3,1.0
42255,2,3,1.0
15600,2,3,1.0
3900,2,3,1.0
49935,2,3,1.0
61455,2,3,1.0
30600,2,3,1.0
4590,2,3,1.0
34935,2,3,1.0
24480,2,3,1.0
1530,2,3,1.0
41055,2,3,1.0
16320,2,3,1.0
1020,2,3,1.0
49215,2,3,1.0
50886,3,3,1.0
40092,3,3,1.0
58082,3,3,1.0
29812,3,3,1.0
7453,3,3,1.0
14649,3,3,1.0
52326,3,3,1.0
39372,3,3,1.0
60962,3,3,1.0
30532,3,3,1.0
4573,3,3,1.0
13209,3,3,1.0
42662,3,3,1.0
39578,3,3,1.0
22873,3,3,1.0
43622,3,3,1.0
39338,3,3,1.0
21913,3,3,1.0
25957,3,3,1.0
26985,3,3,1.0
27306,3,3,1.0
22118,3,3,1.0
38502,3,3,1.0
38229,3,3,1.0
26218,3,3,1.0
21846,3,3,1.0
39318,3,3,1.0
39317,3,3,1.0
42602,3,3,1.0
25942,3,3,1.0
27030,3,3,1.0
22933,3,3,1.0
42598,3,3,1.0
25941,3,3,1.0
27033,3,3,1.0
22937,3,3,1.0
26197,3,3,1.0
26265,3,3,1.0
53970,3,3,1.0
46260,3,3,1.0
51914,3,3,1.0
23644,3,3,1.0
13621,3,3,1.0
11565,3,3,1.0
61530,3,3,1.0
42480,3,3,1.0
64010,3,3,1.0
24400,3,3,1.0
1525,3,3,1.0
4005,3,3,1.0
22106,3,3,1.0
38490,3,3,1.0
23146,3,3,1.0
42390,3,3,1.0
42389,3,3,1.0
39530,3,3,1.0
22870,3,3,1.0
26005,3,3,1.0
39514,3,3,1.0
22869,3,3,1.0
27045,3,3,1.0
26021,3,3,1.0
43610,3,3,1.0
42410,3,3,1.0
21925,3,3,1.0
23125,3,3,1.0
23205,3,3,1.0
56610,3,3,1.0
47940,3,3,1.0
52394,3,3,1.0
21964,3,3,1.0
13141,3,3,1.0
8925,3,3,1.0
62730,3,3,1.0
44880,3,3,1.0
61610,3,3,1.0
22000,3,3,1.0
3925,3,3,1.0
2805,3,3,1.0
21866,3,3,1.0
38250,3,3,1.0
22186,3,3,1.0
43350,3,3,1.0
