benchmark,samples,method,repeat,milliseconds,objects,seed
efficiency,1024.0,float_tnorm,0,0.0223,,
efficiency,1024.0,float_tnorm,1,0.022,,
efficiency,1024.0,float_tnorm,2,0.0221,,
efficiency,1024.0,float_tnorm,3,0.0272,,
efficiency,1024.0,float_tnorm,4,0.0245,,
efficiency,1024.0,float_tnorm,5,0.0227,,
efficiency,1024.0,float_tnorm,6,0.0229,,
efficiency,1024.0,float_tnorm,7,0.0224,,
efficiency,1024.0,float_tnorm,8,0.0238,,
efficiency,1024.0,float_tnorm,9,0.0222,,
efficiency,1024.0,float_tnorm,10,0.0218,,
efficiency,1024.0,float_tnorm,11,0.0219,,
efficiency,1024.0,bool_numpy,0,0.0119,,
efficiency,1024.0,bool_numpy,1,0.0121,,
efficiency,1024.0,bool_numpy,2,0.0119,,
efficiency,1024.0,bool_numpy,3,0.0119,,
efficiency,1024.0,bool_numpy,4,0.0124,,
efficiency,1024.0,bool_numpy,5,0.0116,,
efficiency,1024.0,bool_numpy,6,0.0119,,
efficiency,1024.0,bool_numpy,7,0.0119,,
efficiency,1024.0,bool_numpy,8,0.0117,,
efficiency,1024.0,bool_numpy,9,0.0119,,
efficiency,1024.0,bool_numpy,10,0.0117,,
efficiency,1024.0,bool_numpy,11,0.0119,,
efficiency,1024.0,packed_kernel,0,0.0041,,
efficiency,1024.0,packed_kernel,1,0.0038,,
efficiency,1024.0,packed_kernel,2,0.0037,,
efficiency,1024.0,packed_kernel,3,0.0038,,
efficiency,1024.0,packed_kernel,4,0.0038,,
efficiency,1024.0,packed_kernel,5,0.0038,,
efficiency,1024.0,packed_kernel,6,0.0038,,
efficiency,1024.0,packed_kernel,7,0.0037,,
efficiency,1024.0,packed_kernel,8,0.0039,,
efficiency,1024.0,packed_kernel,9,0.0037,,
efficiency,1024.0,packed_kernel,10,0.0037,,
efficiency,1024.0,packed_kernel,11,0.0037,,
efficiency,1024.0,packed_end_to_end,0,0.0229,,
efficiency,1024.0,packed_end_to_end,1,0.0287,,
efficiency,1024.0,packed_end_to_end,2,0.0222,,
efficiency,1024.0,packed_end_to_end,3,0.0224,,
efficiency,1024.0,packed_end_to_end,4,0.0224,,
efficiency,1024.0,packed_end_to_end,5,0.0225,,
efficiency,1024.0,packed_end_to_end,6,0.0224,,
efficiency,1024.0,packed_end_to_end,7,0.0224,,
efficiency,1024.0,packed_end_to_end,8,0.0226,,
efficiency,1024.0,packed_end_to_end,9,0.0224,,
efficiency,1024.0,packed_end_to_end,10,0.0223,,
efficiency,1024.0,packed_end_to_end,11,0.0231,,
efficiency,16384.0,float_tnorm,0,0.1058,,
efficiency,16384.0,float_tnorm,1,0.1071,,
efficiency,16384.0,float_tnorm,2,0.1031,,
efficiency,16384.0,float_tnorm,3,0.1033,,
efficiency,16384.0,float_tnorm,4,0.1034,,
efficiency,16384.0,float_tnorm,5,0.1028,,
efficiency,16384.0,float_tnorm,6,0.1029,,
efficiency,16384.0,float_tnorm,7,0.1028,,
efficiency,16384.0,float_tnorm,8,0.1029,,
efficiency,16384.0,float_tnorm,9,0.1033,,
efficiency,16384.0,float_tnorm,10,0.1096,,
efficiency,16384.0,float_tnorm,11,0.1028,,
efficiency,16384.0,bool_numpy,0,0.0701,,
efficiency,16384.0,bool_numpy,1,0.0694,,
efficiency,16384.0,bool_numpy,2,0.0694,,
efficiency,16384.0,bool_numpy,3,0.0706,,
efficiency,16384.0,bool_numpy,4,0.0699,,
efficiency,16384.0,bool_numpy,5,0.069,,
efficiency,16384.0,bool_numpy,6,0.0739,,
efficiency,16384.0,bool_numpy,7,0.0706,,
efficiency,16384.0,bool_numpy,8,0.0713,,
efficiency,16384.0,bool_numpy,9,0.0701,,
efficiency,16384.0,bool_numpy,10,0.0693,,
efficiency,16384.0,bool_numpy,11,0.0695,,
efficiency,16384.0,packed_kernel,0,0.0119,,
efficiency,16384.0,packed_kernel,1,0.0117,,
efficiency,16384.0,packed_kernel,2,0.0117,,
efficiency,16384.0,packed_kernel,3,0.0117,,
efficiency,16384.0,packed_kernel,4,0.0117,,
efficiency,16384.0,packed_kernel,5,0.0117,,
efficiency,16384.0,packed_kernel,6,0.0116,,
efficiency,16384.0,packed_kernel,7,0.0117,,
efficiency,16384.0,packed_kernel,8,0.0116,,
efficiency,16384.0,packed_kernel,9,0.0117,,
efficiency,16384.0,packed_kernel,10,0.0117,,
efficiency,16384.0,packed_kernel,11,0.0116,,
efficiency,16384.0,packed_end_to_end,0,0.1429,,
efficiency,16384.0,packed_end_to_end,1,0.1486,,
efficiency,16384.0,packed_end_to_end,2,0.1472,,
efficiency,16384.0,packed_end_to_end,3,0.1428,,
efficiency,16384.0,packed_end_to_end,4,0.155,,
efficiency,16384.0,packed_end_to_end,5,0.1426,,
efficiency,16384.0,packed_end_to_end,6,0.1428,,
efficiency,16384.0,packed_end_to_end,7,0.1428,,
efficiency,16384.0,packed_end_to_end,8,0.1427,,
efficiency,16384.0,packed_end_to_end,9,0.1425,,
efficiency,16384.0,packed_end_to_end,10,0.1433,,
efficiency,16384.0,packed_end_to_end,11,0.1467,,
efficiency,262144.0,float_tnorm,0,6.7061,,
efficiency,262144.0,float_tnorm,1,7.5955,,
efficiency,262144.0,float_tnorm,2,6.7284,,
efficiency,262144.0,float_tnorm,3,7.34,,
efficiency,262144.0,float_tnorm,4,6.7918,,
efficiency,262144.0,float_tnorm,5,6.6805,,
efficiency,262144.0,float_tnorm,6,7.0295,,
efficiency,262144.0,float_tnorm,7,6.669,,
efficiency,262144.0,float_tnorm,8,7.7452,,
efficiency,262144.0,float_tnorm,9,7.1913,,
efficiency,262144.0,float_tnorm,10,8.0509,,
efficiency,262144.0,float_tnorm,11,7.3365,,
efficiency,262144.0,bool_numpy,0,0.9319,,
efficiency,262144.0,bool_numpy,1,0.9614,,
efficiency,262144.0,bool_numpy,2,0.9569,,
efficiency,262144.0,bool_numpy,3,1.0688,,
efficiency,262144.0,bool_numpy,4,1.0085,,
efficiency,262144.0,bool_numpy,5,1.0237,,
efficiency,262144.0,bool_numpy,6,0.9922,,
efficiency,262144.0,bool_numpy,7,1.0326,,
efficiency,262144.0,bool_numpy,8,0.999,,
efficiency,262144.0,bool_numpy,9,1.0002,,
efficiency,262144.0,bool_numpy,10,1.0053,,
efficiency,262144.0,bool_numpy,11,1.0004,,
efficiency,262144.0,packed_kernel,0,0.1262,,
efficiency,262144.0,packed_kernel,1,0.1169,,
efficiency,262144.0,packed_kernel,2,0.1157,,
efficiency,262144.0,packed_kernel,3,0.1155,,
efficiency,262144.0,packed_kernel,4,0.116,,
efficiency,262144.0,packed_kernel,5,0.1159,,
efficiency,262144.0,packed_kernel,6,0.1156,,
efficiency,262144.0,packed_kernel,7,0.1156,,
efficiency,262144.0,packed_kernel,8,0.1159,,
efficiency,262144.0,packed_kernel,9,0.1178,,
efficiency,262144.0,packed_kernel,10,0.1152,,
efficiency,262144.0,packed_kernel,11,0.1153,,
efficiency,262144.0,packed_end_to_end,0,2.0671,,
efficiency,262144.0,packed_end_to_end,1,2.066,,
efficiency,262144.0,packed_end_to_end,2,2.07,,
efficiency,262144.0,packed_end_to_end,3,2.078,,
efficiency,262144.0,packed_end_to_end,4,2.0746,,
efficiency,262144.0,packed_end_to_end,5,2.0855,,
efficiency,262144.0,packed_end_to_end,6,2.0659,,
efficiency,262144.0,packed_end_to_end,7,2.0653,,
efficiency,262144.0,packed_end_to_end,8,2.0122,,
efficiency,262144.0,packed_end_to_end,9,1.9132,,
efficiency,262144.0,packed_end_to_end,10,1.8858,,
efficiency,262144.0,packed_end_to_end,11,1.9232,,
efficiency,1048576.0,float_tnorm,0,30.7953,,
efficiency,1048576.0,float_tnorm,1,30.4005,,
efficiency,1048576.0,float_tnorm,2,31.5324,,
efficiency,1048576.0,float_tnorm,3,30.6219,,
efficiency,1048576.0,float_tnorm,4,30.3496,,
efficiency,1048576.0,float_tnorm,5,31.9624,,
efficiency,1048576.0,float_tnorm,6,29.2237,,
efficiency,1048576.0,float_tnorm,7,30.1306,,
efficiency,1048576.0,bool_numpy,0,7.4465,,
efficiency,1048576.0,bool_numpy,1,7.0945,,
efficiency,1048576.0,bool_numpy,2,7.3004,,
efficiency,1048576.0,bool_numpy,3,7.023,,
efficiency,1048576.0,bool_numpy,4,7.1607,,
efficiency,1048576.0,bool_numpy,5,7.0803,,
efficiency,1048576.0,bool_numpy,6,7.0425,,
efficiency,1048576.0,bool_numpy,7,6.9224,,
efficiency,1048576.0,packed_kernel,0,0.4305,,
efficiency,1048576.0,packed_kernel,1,0.4289,,
efficiency,1048576.0,packed_kernel,2,0.4299,,
efficiency,1048576.0,packed_kernel,3,0.4284,,
efficiency,1048576.0,packed_kernel,4,0.43,,
efficiency,1048576.0,packed_kernel,5,0.4278,,
efficiency,1048576.0,packed_kernel,6,0.4205,,
efficiency,1048576.0,packed_kernel,7,0.4204,,
efficiency,1048576.0,packed_end_to_end,0,9.5235,,
efficiency,1048576.0,packed_end_to_end,1,9.3035,,
efficiency,1048576.0,packed_end_to_end,2,10.4287,,
efficiency,1048576.0,packed_end_to_end,3,9.5209,,
efficiency,1048576.0,packed_end_to_end,4,9.5445,,
efficiency,1048576.0,packed_end_to_end,5,12.8903,,
efficiency,1048576.0,packed_end_to_end,6,11.836,,
efficiency,1048576.0,packed_end_to_end,7,10.3349,,
relation_filter,,dense_boolean_gate,0,0.0219,64.0,0.0
relation_filter,,dense_boolean_gate,1,0.0219,64.0,0.0
relation_filter,,dense_boolean_gate,2,0.0216,64.0,0.0
relation_filter,,dense_boolean_gate,3,0.0221,64.0,0.0
relation_filter,,dense_boolean_gate,4,0.0221,64.0,0.0
relation_filter,,dense_boolean_gate,5,0.0219,64.0,0.0
relation_filter,,dense_boolean_gate,6,0.0223,64.0,0.0
relation_filter,,dense_boolean_gate,7,0.0219,64.0,0.0
relation_filter,,dense_boolean_gate,8,0.022,64.0,0.0
relation_filter,,dense_boolean_gate,9,0.0231,64.0,0.0
relation_filter,,indexed_gate_filter,0,0.1007,64.0,0.0
relation_filter,,indexed_gate_filter,1,0.109,64.0,0.0
relation_filter,,indexed_gate_filter,2,0.0965,64.0,0.0
relation_filter,,indexed_gate_filter,3,0.0892,64.0,0.0
relation_filter,,indexed_gate_filter,4,0.0884,64.0,0.0
relation_filter,,indexed_gate_filter,5,0.0878,64.0,0.0
relation_filter,,indexed_gate_filter,6,0.094,64.0,0.0
relation_filter,,indexed_gate_filter,7,0.091,64.0,0.0
relation_filter,,indexed_gate_filter,8,0.0926,64.0,0.0
relation_filter,,indexed_gate_filter,9,0.089,64.0,0.0
relation_filter,,dense_boolean_gate,0,0.0503,128.0,0.0
relation_filter,,dense_boolean_gate,1,0.0512,128.0,0.0
relation_filter,,dense_boolean_gate,2,0.049,128.0,0.0
relation_filter,,dense_boolean_gate,3,0.0489,128.0,0.0
relation_filter,,dense_boolean_gate,4,0.0488,128.0,0.0
relation_filter,,dense_boolean_gate,5,0.0484,128.0,0.0
relation_filter,,dense_boolean_gate,6,0.0494,128.0,0.0
relation_filter,,dense_boolean_gate,7,0.0486,128.0,0.0
relation_filter,,dense_boolean_gate,8,0.0506,128.0,0.0
relation_filter,,dense_boolean_gate,9,0.0493,128.0,0.0
relation_filter,,indexed_gate_filter,0,0.1762,128.0,0.0
relation_filter,,indexed_gate_filter,1,0.1744,128.0,0.0
relation_filter,,indexed_gate_filter,2,0.1742,128.0,0.0
relation_filter,,indexed_gate_filter,3,0.1744,128.0,0.0
relation_filter,,indexed_gate_filter,4,0.184,128.0,0.0
relation_filter,,indexed_gate_filter,5,0.1863,128.0,0.0
relation_filter,,indexed_gate_filter,6,0.1745,128.0,0.0
relation_filter,,indexed_gate_filter,7,0.1752,128.0,0.0
relation_filter,,indexed_gate_filter,8,0.1749,128.0,0.0
relation_filter,,indexed_gate_filter,9,0.1794,128.0,0.0
relation_filter,,dense_boolean_gate,0,0.1624,256.0,0.0
relation_filter,,dense_boolean_gate,1,0.1622,256.0,0.0
relation_filter,,dense_boolean_gate,2,0.1621,256.0,0.0
relation_filter,,dense_boolean_gate,3,0.1668,256.0,0.0
relation_filter,,dense_boolean_gate,4,0.1678,256.0,0.0
relation_filter,,dense_boolean_gate,5,0.163,256.0,0.0
relation_filter,,dense_boolean_gate,6,0.162,256.0,0.0
relation_filter,,dense_boolean_gate,7,0.1736,256.0,0.0
relation_filter,,dense_boolean_gate,8,0.1755,256.0,0.0
relation_filter,,dense_boolean_gate,9,0.1726,256.0,0.0
relation_filter,,indexed_gate_filter,0,0.3547,256.0,0.0
relation_filter,,indexed_gate_filter,1,0.3446,256.0,0.0
relation_filter,,indexed_gate_filter,2,0.4171,256.0,0.0
relation_filter,,indexed_gate_filter,3,0.3467,256.0,0.0
relation_filter,,indexed_gate_filter,4,0.3547,256.0,0.0
relation_filter,,indexed_gate_filter,5,0.3552,256.0,0.0
relation_filter,,indexed_gate_filter,6,0.3432,256.0,0.0
relation_filter,,indexed_gate_filter,7,0.3547,256.0,0.0
relation_filter,,indexed_gate_filter,8,0.343,256.0,0.0
relation_filter,,indexed_gate_filter,9,0.3444,256.0,0.0
relation_filter,,dense_boolean_gate,0,1.0109,512.0,0.0
relation_filter,,dense_boolean_gate,1,0.9727,512.0,0.0
relation_filter,,dense_boolean_gate,2,0.9573,512.0,0.0
relation_filter,,dense_boolean_gate,3,0.9563,512.0,0.0
relation_filter,,dense_boolean_gate,4,1.0359,512.0,0.0
relation_filter,,dense_boolean_gate,5,1.0686,512.0,0.0
relation_filter,,dense_boolean_gate,6,1.0434,512.0,0.0
relation_filter,,dense_boolean_gate,7,1.1035,512.0,0.0
relation_filter,,dense_boolean_gate,8,0.9861,512.0,0.0
relation_filter,,dense_boolean_gate,9,0.9859,512.0,0.0
relation_filter,,indexed_gate_filter,0,0.7113,512.0,0.0
relation_filter,,indexed_gate_filter,1,0.7152,512.0,0.0
relation_filter,,indexed_gate_filter,2,0.7089,512.0,0.0
relation_filter,,indexed_gate_filter,3,0.806,512.0,0.0
relation_filter,,indexed_gate_filter,4,0.723,512.0,0.0
relation_filter,,indexed_gate_filter,5,0.7228,512.0,0.0
relation_filter,,indexed_gate_filter,6,0.712,512.0,0.0
relation_filter,,indexed_gate_filter,7,0.7184,512.0,0.0
relation_filter,,indexed_gate_filter,8,0.7195,512.0,0.0
relation_filter,,indexed_gate_filter,9,0.738,512.0,0.0
relation_filter,,dense_boolean_gate,0,5.2074,1024.0,0.0
relation_filter,,dense_boolean_gate,1,4.9986,1024.0,0.0
relation_filter,,dense_boolean_gate,2,5.2074,1024.0,0.0
relation_filter,,dense_boolean_gate,3,5.2145,1024.0,0.0
relation_filter,,dense_boolean_gate,4,5.1452,1024.0,0.0
relation_filter,,dense_boolean_gate,5,5.5023,1024.0,0.0
relation_filter,,dense_boolean_gate,6,5.0538,1024.0,0.0
relation_filter,,dense_boolean_gate,7,5.2034,1024.0,0.0
relation_filter,,dense_boolean_gate,8,5.4781,1024.0,0.0
relation_filter,,dense_boolean_gate,9,5.1365,1024.0,0.0
relation_filter,,indexed_gate_filter,0,1.8367,1024.0,0.0
relation_filter,,indexed_gate_filter,1,1.5243,1024.0,0.0
relation_filter,,indexed_gate_filter,2,1.5927,1024.0,0.0
relation_filter,,indexed_gate_filter,3,1.6434,1024.0,0.0
relation_filter,,indexed_gate_filter,4,1.5744,1024.0,0.0
relation_filter,,indexed_gate_filter,5,1.5887,1024.0,0.0
relation_filter,,indexed_gate_filter,6,1.5728,1024.0,0.0
relation_filter,,indexed_gate_filter,7,1.5743,1024.0,0.0
relation_filter,,indexed_gate_filter,8,1.5934,1024.0,0.0
relation_filter,,indexed_gate_filter,9,1.5694,1024.0,0.0
relation_filter,,dense_boolean_gate,0,21.9386,2048.0,0.0
relation_filter,,dense_boolean_gate,1,21.0684,2048.0,0.0
relation_filter,,dense_boolean_gate,2,21.0312,2048.0,0.0
relation_filter,,dense_boolean_gate,3,21.5482,2048.0,0.0
relation_filter,,dense_boolean_gate,4,20.8184,2048.0,0.0
relation_filter,,dense_boolean_gate,5,22.2435,2048.0,0.0
relation_filter,,dense_boolean_gate,6,28.1507,2048.0,0.0
relation_filter,,dense_boolean_gate,7,22.194,2048.0,0.0
relation_filter,,dense_boolean_gate,8,21.4895,2048.0,0.0
relation_filter,,dense_boolean_gate,9,21.4676,2048.0,0.0
relation_filter,,indexed_gate_filter,0,2.937,2048.0,0.0
relation_filter,,indexed_gate_filter,1,2.9966,2048.0,0.0
relation_filter,,indexed_gate_filter,2,2.9943,2048.0,0.0
relation_filter,,indexed_gate_filter,3,3.1017,2048.0,0.0
relation_filter,,indexed_gate_filter,4,3.0598,2048.0,0.0
relation_filter,,indexed_gate_filter,5,3.1365,2048.0,0.0
relation_filter,,indexed_gate_filter,6,3.1245,2048.0,0.0
relation_filter,,indexed_gate_filter,7,3.2008,2048.0,0.0
relation_filter,,indexed_gate_filter,8,3.7549,2048.0,0.0
relation_filter,,indexed_gate_filter,9,3.2225,2048.0,0.0
relation_filter,,dense_boolean_gate,0,0.0315,64.0,1.0
relation_filter,,dense_boolean_gate,1,0.0232,64.0,1.0
relation_filter,,dense_boolean_gate,2,0.0236,64.0,1.0
relation_filter,,dense_boolean_gate,3,0.0218,64.0,1.0
