run,suite,cohort,source_commit,task_id,variant,seed,status,deployment_eligible,strict_hard_task_exact,selected_by_demo,hard_demo_task_exact,hard_demo_cell_accuracy,hard_task_exact,hard_cell_accuracy,soft_task_exact,hardening_task_drop,selected_horizon,state_bits_per_cell,parameter_count,parameter_storage_bits,hard_fixed_width_circuit_bits,active_non_passthrough_gates,hard_gates_per_cell_step,test_dynamic_gate_evaluations,dense_macs_per_cell_step,test_dense_macs,test_state_bit_updates,hard_export_equivalent,elapsed_seconds
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a04b2602,dl1,1,trained,0.0,0.0,1.0,0.0,0.6536082474226804,0.0,0.6273148148148148,0.0,0.0,1,4,2624,83968,2704,8,164,70848,,,1728,1.0,8.515345944906585
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a04b2602,dl1_wide,2,trained,0.0,0.0,1.0,0.0,0.2190721649484536,0.0,0.25,0.0,0.0,1,4,7744,247808,8376,31,484,209088,,,1728,1.0,13.828739132964984
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a834deea,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9453125,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a834deea,d4_sparse,-1,no_deterministic_local_rule,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a834deea,d4_bgpad_sparse,-1,no_deterministic_local_rule,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a834deea,dl1,0,trained,0.0,0.0,1.0,0.0,0.9416243654822335,0.0,0.9453125,0.0,0.0,1,4,2624,83968,2704,6,164,41984,,,1024,1.0,6.228795256931335
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a834deea,dl1_wide,2,trained,0.0,0.0,1.0,0.0,0.9416243654822335,0.0,0.9453125,0.0,0.0,1,4,7744,247808,8376,37,484,123904,,,1024,1.0,8.202858500997536
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a8d7556c,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9320987654320988,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a8d7556c,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.941358024691358,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a8d7556c,d4_bgpad_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9320987654320988,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a8d7556c,dl1,2,trained,0.0,0.0,1.0,0.0,0.9362139917695473,0.0,0.9320987654320988,0.0,0.0,1,4,2624,83968,2704,8,164,53136,,,1296,1.0,9.078838241985068
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,a8d7556c,dl1_wide,2,trained,0.0,0.0,1.0,0.0,0.9362139917695473,0.0,0.9320987654320988,0.0,0.0,1,4,7744,247808,8376,30,484,156816,,,1296,1.0,12.20340625802055
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,b60334d2,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.9506172839506173,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,b60334d2,d4_sparse,-1,selected,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,b60334d2,d4_bgpad_sparse,-1,selected,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,b60334d2,dl1,2,trained,0.0,0.0,1.0,0.0,0.30246913580246915,0.0,0.345679012345679,0.0,0.0,1,4,2624,83968,2704,12,164,13284,,,324,1.0,5.684910350013524
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,b60334d2,dl1_wide,1,trained,0.0,0.0,1.0,0.0,0.7839506172839507,0.0,0.7530864197530864,0.0,0.0,1,4,7744,247808,8376,30,484,39204,,,324,1.0,6.878421699046157
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,bda2d7a6,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.04,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,bda2d7a6,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.04,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,bda2d7a6,d4_bgpad_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.04,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,bda2d7a6,dl1,2,trained,0.0,0.0,1.0,0.0,0.3897058823529412,0.0,0.13,0.0,0.0,1,4,2624,83968,2704,21,164,16400,,,400,1.0,6.673073145910166
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,bda2d7a6,dl1_wide,1,trained,0.0,0.0,1.0,0.0,0.5955882352941176,0.0,0.03,0.0,0.0,1,4,7744,247808,8376,62,484,48400,,,400,1.0,7.924781334004365
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,cc9053aa,sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.7777777777777778,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,cc9053aa,d4_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.7901234567901234,,,,,,,,,,,,,,,
diffarc_formal_confirm_4f54aa4,arc,conf_induction_hash,4f54aa45d1e6328d96352028375718b7506d926a,cc9053aa,d4_bgpad_sparse,-1,selected,1.0,0.0,1.0,1.0,1.0,0.0,0.7654320987654321,,,,,,,,,,,,,,,
