active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,syn_global_marker,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9375,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,syn_global_marker,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.9375,0.0,,,,-1,1.0,,,,,,,,,no_deterministic_local_rule,syn_global_marker,,,,,,,d4_bgpad_sparse,,
7,0.9375,0.0,none,,,,cuda,8.457909480901435,480,1.0,0.9791666666666666,0.6666666666666666,0.0,1.0,524849c75d5c363e51f2df76e59ee5491712e50f86c980ce88bd988d8efe6ef5,2704,164,1,16,0.0625,1.0,1.0,1.0,-1.0,,,difflogic,2624,83968,0,1.0,1,same,0.9375,0.0,0.0,0.0,4,1,trained,syn_global_marker,16,,2624,1,[null],64,dl1,4,4
23,0.9375,0.0,none,,,,cuda,6.58878219104372,480,0.875,0.8958333333333334,0.0,0.0,1.0,7bdbea5f52e553ff8195672a24e05936eac43105e34ecdbf437501cce9bb7730,8888,484,0,16,0.0,0.0,0.0,0.0,0.0,,,difflogic,7744,247808,2,1.0,1,same,0.875,0.0,0.0,0.0,4,52,trained,syn_global_marker,16,,7744,1,[null],64,dlc1,4,4
