task_id,neighborhood,offset_count,exception_count,model_description_bits,wrapper_description_bits,total_description_bits,binary4_gate_upper_bound,onehot_gate_upper_bound,binary4_state_bits_per_cell,onehot_state_bits_per_cell,onehot_boundary_input_states,test_cells,binary4_dynamic_gate_upper_bound,onehot_dynamic_gate_upper_bound,compiled_checked,compiled_equivalent,binary4_invalid_rate,onehot_invalid_rate,direct_median_seconds,direct_p95_seconds,binary4_median_seconds,binary4_p95_seconds,onehot_median_seconds,onehot_p95_seconds,compile_skip_reason,dataset,split
synthetic:identity_10color,center,1,0,13,8,21,0,0,4,10,11,744,0,0,1.0,1.0,0.0,0.0,0.001589830033481121,0.0018080120207741857,0.00010586506687104702,0.00013226608280092478,0.00013001402840018272,0.0001460839994251728,,,
synthetic:palette_cycle_10color,center,1,9,92,8,100,165,279,4,10,11,744,122760,207576,1.0,1.0,0.0,0.0,0.0011779179330915213,0.0011928740423172712,0.0006416538963094354,0.0006626199465245008,0.00042984390165656805,0.00044811295811086893,,,
synthetic:copy_north,center_wire_-1_+0,2,90,1112,8,1120,2250,2880,4,10,11,744,1674000,2142720,1.0,1.0,0.0,0.0,0.0011252530384808779,0.0030400180257856846,0.005600349046289921,0.006702509010210633,0.0029092610348016024,0.0029263339238241315,,,
synthetic:conditional_recolor,center_wire_-1_+0,2,1,37,8,45,26,32,4,10,11,744,19344,23808,1.0,1.0,0.0,0.0,0.0010009929537773132,0.0010235969675704837,0.0001685300376266241,0.0002041079569607973,0.00015878002159297466,0.00016742001753300428,,,
synthetic:binary_dilation,von_neumann_r1,5,65,1611,8,1619,3120,2275,4,10,11,744,2321280,1692600,1.0,1.0,0.0,0.0,0.0012922779424116015,0.0013089659623801708,0.0038409970002248883,0.003922712989151478,0.0025150119327008724,0.002530134981498122,,,
synthetic:binary_erosion,von_neumann_r1,5,80,1971,8,1979,3760,2800,4,10,11,744,2797440,2083200,1.0,1.0,0.0,0.0,0.001295708934776485,0.001311088097281754,0.004736707080155611,0.004805488977581263,0.0030487129697576165,0.0030771950259804726,,,
synthetic:binary_parity,von_neumann_r1,5,80,1971,8,1979,3800,2800,4,10,11,744,2827200,2083200,1.0,1.0,0.0,0.0,0.0012892880477011204,0.001300942967645824,0.004881151020526886,0.00603705202229321,0.0030385880963876843,0.0033265450038015842,,,
synthetic:random_binary_lut5,von_neumann_r1,5,57,1418,8,1426,2714,1995,4,10,11,744,2019216,1484280,1.0,1.0,0.0,0.0,0.0012782500125467777,0.001307707978412509,0.0034989570267498493,0.0036789809819310904,0.0025183239486068487,0.002897750004194677,,,
009d5c81,moore_r2,25,132,13906,8,13914,26483,7260,4,10,11,196,5190668,1422960,1.0,1.0,0.0,0.0,0.0006092209368944168,0.0006248001009225845,0.005195559002459049,0.005214032018557191,0.006736989016644657,0.006751256994903088,,ARC-AGI-2,training
025d127b,von_neumann_r1,5,15,409,8,417,733,525,4,10,11,100,73300,52500,1.0,1.0,0.0,0.0,0.00020171795040369034,0.0007405889919027686,0.0006667679408565164,0.0021991600515320897,0.00048826495185494423,0.0005118330009281635,,ARC-AGI-2,training
