group,metric,numerator,denominator,value
sparse_table/all_tasks,task_exact_pass_at_1,13.0,1000.0,0.013
sparse_table/all_tasks,task_exact_pass_at_2,13.0,1000.0,0.013
sparse_table/all_tasks,identity_task_exact,0.0,1000.0,0.0
sparse_table/all_tasks,solver_coverage,253.0,1000.0,0.253
sparse_table/all_tasks,posthoc_oracle_local_representability,227.0,1000.0,0.227
sparse_table/all_pairs,pair_exact_pass_at_1,15.0,1076.0,0.013940520446096654
sparse_table/all_pairs,pair_exact_pass_at_2,15.0,1076.0,0.013940520446096654
sparse_table/supported_tasks,task_exact_pass_at_1,13.0,253.0,0.05138339920948617
sparse_table/supported_tasks,task_exact_pass_at_2,13.0,253.0,0.05138339920948617
sparse_table/compiled_tasks,semantic_equivalence,253.0,253.0,1.0
sparse_table/refusal_taxonomy,no_deterministic_local_rule,427.0,1000.0,0.427
sparse_table/refusal_taxonomy,selected,253.0,1000.0,0.253
sparse_table/refusal_taxonomy,unsupported_shape_change,320.0,1000.0,0.32
program_all_tasks,task_exact_pass_at_1,7.0,1000.0,0.007
program_all_tasks,solver_coverage,7.0,1000.0,0.007
program_all_pairs,pair_exact_pass_at_1,8.0,1076.0,0.007434944237918215
program_supported_tasks,task_exact_pass_at_1,7.0,7.0,1.0
program_refusal_taxonomy,no_exact_program,673.0,1000.0,0.673
program_refusal_taxonomy,selected,7.0,1000.0,0.007
program_refusal_taxonomy,unsupported_shape_change,320.0,1000.0,0.32
two_family_lower_bound,task_exact_pass_at_2,16.0,1000.0,0.016
