denominator,metric,numerator,value,variant
2,tasks,2,1.0,d4_bgpad_sparse
2,hard_task_exact,0.0,0.0,d4_bgpad_sparse
2,hard_demo_exact,2.0,1.0,d4_bgpad_sparse
2,tasks,2,1.0,d4_sparse
2,hard_task_exact,1.0,0.5,d4_sparse
2,hard_demo_exact,2.0,1.0,d4_sparse
2,tasks,2,1.0,dl1
2,hard_task_exact,0.0,0.0,dl1
2,hard_demo_exact,0.0,0.0,dl1
2,tasks,2,1.0,dlr2
2,hard_task_exact,1.0,0.5,dlr2
2,hard_demo_exact,1.0,0.5,dlr2
2,tasks,2,1.0,sparse
2,hard_task_exact,1.0,0.5,sparse
2,hard_demo_exact,2.0,1.0,sparse
