method,dataset,seed,redundancy_factor,train_estimator,eligible_for_method,selection_policy,candidate,checkpoint_source,val_hard_acc,val_hard_loss,val_soft_acc,val_soft_loss,val_full_gap,source_run,refit_error,refit_delta,op_change_ratio,unused_gate_ratio,gate_count,depth,fanout_max,score,selected
redundant_task_hardened,random_sparse10,1,8,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.90625,0.4154175917307536,0.9166666666666666,0.160040020942688,0.01041666666666663,redundant_hardening_bool_seeds12_v1,0.11229804103853287,0.008831647244126847,0.421875,0.125,640,3,52,0.4177905721411389,1
redundant_task_hardened,parity8,2,2,,1,all_candidates_validation_hard_acc,gumbel_sample_1,best_hard,0.6041666666666666,0.9362600644429525,0.5833333333333334,0.6807864507039388,0.02083333333333326,redundant_hardening_bool_seeds12_v1,nan,nan,nan,0.15625,160,3,16,0.9378225644429525,1
redundant_task_hardened,parity8,2,4,,1,all_candidates_validation_hard_acc,gumbel_sample_7,best_hard,0.5625,1.5109361012776692,0.375,0.9816776911417643,0.1875,redundant_hardening_bool_seeds12_v1,nan,nan,nan,0.221875,320,3,32,1.5131548512776691,1
redundant_task_hardened,parity8,2,8,,1,all_candidates_validation_hard_acc,gumbel_sample_3,best_hard,0.5833333333333334,1.77423095703125,0.3541666666666667,0.9406190713246664,0.22916666666666669,redundant_hardening_bool_seeds12_v1,nan,nan,nan,0.228125,640,3,64,1.77651220703125,1
redundant_task_hardened,majority9,2,2,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.9375,0.18287221590677896,0.9583333333333334,0.18916310866673788,0.02083333333333337,redundant_hardening_bool_seeds12_v1,0.085680097079603,0.006228866016802688,0.3125,0.0625,160,3,15,0.18435401687757497,1
redundant_task_hardened,majority9,2,4,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.96875,0.08752158284187317,0.96875,0.1170346736907959,0.0,redundant_hardening_bool_seeds12_v1,nan,nan,0.0,0.0875,320,3,29,0.08839658284187317,1
redundant_task_hardened,majority9,2,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.9791666666666666,0.0856194297472636,1.0,0.050263047218322754,0.02083333333333337,redundant_hardening_bool_seeds12_v1,nan,nan,0.0,0.1546875,640,3,57,0.0871663047472636,1
redundant_task_hardened,random_sparse10,2,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.7395833333333334,0.5948691368103027,0.7447916666666666,0.496058185895284,0.005208333333333259,redundant_hardening_bool_seeds12_v1,nan,nan,0.0,0.20625,160,3,13,0.5969316368103027,1
redundant_task_hardened,random_sparse10,2,4,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.890625,0.2528509497642517,0.9427083333333334,0.19797205924987793,0.05208333333333337,redundant_hardening_bool_seeds12_v1,nan,nan,0.0,0.171875,320,3,26,0.2545696997642517,1
redundant_task_hardened,random_sparse10,2,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.890625,0.3413342634836833,0.953125,0.13688244422276816,0.0625,redundant_hardening_bool_seeds12_v1,nan,nan,0.0,0.1375,640,3,52,0.3427092634836833,1
redundant_task_hardened,digits,0,2,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.6735905044510386,1.0512961548938242,0.7329376854599406,0.9876149344515023,0.05934718100890202,redundant_hardening_digits_v1,0.037668244582164334,0.003262190914635236,0.38750000794728595,0.11666666666666667,240,3,3,1.0528395040063125,1
redundant_task_hardened,digits,0,4,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.8160237388724035,0.6822538290957669,0.857566765578635,0.5408005530473387,0.041543026706231445,redundant_hardening_digits_v1,0.042768166723484075,0.0027489944853490065,0.41458333532015484,0.12083333333333333,480,3,5,0.6838898440963351,1
redundant_task_hardened,digits,0,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.827893175074184,0.5775582061677021,0.9020771513353115,0.3688950807475195,0.0741839762611275,redundant_hardening_digits_v1,nan,nan,0.0,0.14895833333333333,960,3,10,0.5790477895010355,1
redundant_task_hardened,binarized_mnist,0,2,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.516,1.9959720458984376,0.508,1.558650146484375,0.008000000000000007,redundant_hardening_mnist_smoke_v1,0.13690382330678402,0.011675472036004062,0.6579166650772095,0.3025,2000,3,3,2.0003660841315054,1
redundant_task_hardened,binarized_mnist,0,4,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.408,4.42152978515625,0.612,1.255677734375,0.20400000000000001,redundant_hardening_mnist_smoke_v1,0.14058787351192828,0.011588304714920636,0.6541666587193807,0.318,4000,3,5,4.42611566389137,1
redundant_task_hardened,cifar10_small,0,2,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.228,6.10319921875,0.232,2.2202060546875,0.0040000000000000036,redundant_hardening_cifar10_smoke_v1,0.15061919419909828,0.012099295514635752,0.5056250095367432,0.1635,4000,3,2,6.106340410691992,1
redundant_task_hardened,parity8,0,2,,1,all_candidates_validation_hard_acc,gumbel_sample_20,best_hard,0.5833333333333334,1.0548615455627441,0.4583333333333333,0.7632784843444824,0.12500000000000006,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,nan,0.26875,160,3,16,1.057549045562744,1
redundant_task_hardened,parity8,0,4,,1,all_candidates_validation_hard_acc,gumbel_sample_9,best_hard,0.5833333333333334,1.0348618825276692,0.4791666666666667,0.9166539510091146,0.10416666666666669,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,nan,0.253125,320,3,32,1.0373931325276693,1
redundant_task_hardened,parity8,0,8,,1,all_candidates_validation_hard_acc,gumbel_sample_13,best_hard,0.6666666666666666,1.4615559577941895,0.4791666666666667,0.8979947566986084,0.18749999999999994,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,nan,0.259375,640,3,64,1.4641497077941894,1
redundant_task_hardened,majority9,0,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.8854166666666666,0.26392050584157306,0.9270833333333334,0.3329308032989502,0.04166666666666674,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,0.0,0.1875,160,3,15,0.2657955058415731,1
redundant_task_hardened,majority9,0,4,,1,all_candidates_validation_hard_acc,gumbel_sample_31,best_hard,0.9270833333333334,0.20990951855977377,0.9791666666666666,0.12107772628466289,0.05208333333333326,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,nan,0.153125,320,3,29,0.21144076855977378,1
redundant_task_hardened,majority9,0,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.96875,0.09638901551564534,1.0,0.07076239585876465,0.03125,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,0.0,0.1203125,640,3,57,0.09759214051564534,1
redundant_task_hardened,random_sparse10,0,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.8385416666666666,0.44826563199361164,0.8125,0.376703421274821,0.02604166666666663,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,0.0,0.11875,160,3,13,0.44945313199361164,1
redundant_task_hardened,random_sparse10,0,4,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.84375,0.3410671552022298,0.8958333333333334,0.24839226404825845,0.05208333333333337,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,0.0,0.13125,320,3,26,0.3423796552022298,1
redundant_task_hardened,random_sparse10,0,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.9010416666666666,0.32038219769795734,0.9583333333333334,0.11771158377329509,0.05729166666666674,redundant_hardening_bool_bestof32_seed0_v1,nan,nan,0.0,0.121875,640,3,52,0.32160094769795733,1
redundant_task_hardened,parity8,1,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.6875,0.802740732828776,0.3333333333333333,0.7256897290547689,0.3541666666666667,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.25625,160,3,16,0.805303232828776,1
redundant_task_hardened,parity8,1,4,,1,all_candidates_validation_hard_acc,gumbel_sample_20,best_hard,0.6458333333333334,1.222624937693278,0.5,0.7180517514546713,0.14583333333333337,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.26875,320,3,32,1.225312437693278,1
redundant_task_hardened,parity8,1,8,,1,all_candidates_validation_hard_acc,gumbel_sample_27,best_hard,0.5833333333333334,1.5031057993570964,0.3958333333333333,0.8288695812225342,0.18750000000000006,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.2375,640,3,64,1.5054807993570964,1
redundant_task_hardened,majority9,1,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.90625,0.2570271889368693,0.9166666666666666,0.22982674837112427,0.01041666666666663,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.13125,160,3,15,0.2583396889368693,1
redundant_task_hardened,majority9,1,4,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.9479166666666666,0.191247820854187,1.0,0.13117766380310059,0.05208333333333337,redundant_hardening_bool_bestof32_seeds12_v1,0.10229530172243055,0.007006456609815359,0.4244791666666667,0.090625,320,3,29,0.1931770238714113,1
redundant_task_hardened,majority9,1,8,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.9583333333333334,0.11371481418609619,0.9895833333333334,0.06870022416114807,0.03125,redundant_hardening_bool_bestof32_seeds12_v1,0.10939394456363516,0.006574075892179583,0.36328125,0.0859375,640,3,57,0.11566812863173254,1
redundant_task_hardened,random_sparse10,1,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.90625,0.26615538199742633,0.9166666666666666,0.23631475369135538,0.01041666666666663,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.1625,160,3,13,0.2677803819974263,1
redundant_task_hardened,random_sparse10,1,4,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.9270833333333334,0.1884164810180664,0.9479166666666666,0.16817951202392578,0.02083333333333326,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.134375,320,3,26,0.1897602310180664,1
redundant_task_hardened,random_sparse10,1,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.921875,0.24579370021820068,0.9635416666666666,0.08518489201863606,0.04166666666666663,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.1640625,640,3,52,0.2474343252182007,1
redundant_task_hardened,parity8,2,2,,1,all_candidates_validation_hard_acc,gumbel_sample_0,best_hard,0.625,0.8216651280721029,0.5208333333333334,0.6984161535898844,0.10416666666666663,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.16875,160,3,16,0.8233526280721029,1
redundant_task_hardened,parity8,2,4,,1,all_candidates_validation_hard_acc,gumbel_sample_19,best_hard,0.5833333333333334,0.8087240854899088,0.3125,0.9534081617991129,0.27083333333333337,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.240625,320,3,32,0.8111303354899089,1
redundant_task_hardened,parity8,2,8,,1,all_candidates_validation_hard_acc,gumbel_sample_31,best_hard,0.6041666666666666,1.4240350723266602,0.5208333333333334,0.6965591112772623,0.08333333333333326,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.2546875,640,3,64,1.42658194732666,1
redundant_task_hardened,majority9,2,2,,1,all_candidates_validation_hard_acc,gumbel_sample_2,best_hard,0.9166666666666666,0.22766188780466715,0.9166666666666666,0.22755074501037598,0.0,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.14375,160,3,15,0.22909938780466715,1
redundant_task_hardened,majority9,2,4,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.96875,0.10263182719548543,0.9583333333333334,0.21443323294321695,0.01041666666666663,redundant_hardening_bool_bestof32_seeds12_v1,0.1311192740831757,0.011588942899834365,0.4921875,0.0875,320,3,29,0.10481801993631719,1
redundant_task_hardened,majority9,2,8,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.96875,0.14118843277295431,1.0,0.04961797595024109,0.03125,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.1296875,640,3,57,0.14248530777295432,1
redundant_task_hardened,random_sparse10,2,2,,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.7604166666666666,0.6360881328582764,0.7447916666666666,0.4974293311436971,0.015625,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,0.0,0.2125,160,3,13,0.6382131328582764,1
redundant_task_hardened,random_sparse10,2,4,,1,all_candidates_validation_hard_acc,gumbel_sample_29,best_hard,0.8697916666666666,0.31614089012145996,0.953125,0.1954109271367391,0.08333333333333337,redundant_hardening_bool_bestof32_seeds12_v1,nan,nan,nan,0.215625,320,3,26,0.31829714012146,1
redundant_task_hardened,random_sparse10,2,8,,1,all_candidates_validation_hard_acc,truth_table_refit,best_hard,0.890625,0.2527361313501994,0.953125,0.1432680288950602,0.0625,redundant_hardening_bool_bestof32_seeds12_v1,0.11271574379285691,0.009692532602154339,0.4244791666666667,0.134375,640,3,52,0.25520703878812795,1
redundant_task_hardened,parity8,0,2,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_24,best_hard,0.6458333333333334,0.6720125675201416,0.5208333333333334,0.9699271519978842,0.125,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.2375,160,3,16,0.6743875675201416,1
redundant_task_hardened,parity8,0,4,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_22,best_hard,0.5833333333333334,1.1678156057993572,0.4375,0.770327091217041,0.14583333333333337,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.284375,320,3,32,1.1706593557993572,1
redundant_task_hardened,parity8,0,8,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_23,best_hard,0.625,2.3020828564961753,0.5208333333333334,1.1873706976572673,0.10416666666666663,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.2359375,640,3,64,2.3044422314961754,1
redundant_task_hardened,majority9,0,2,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_1,best_hard,0.7083333333333334,0.9424484570821127,0.4375,0.826202392578125,0.27083333333333337,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.225,160,3,15,0.9446984570821126,1
redundant_task_hardened,majority9,0,4,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_30,best_hard,0.6354166666666666,0.9377034505208334,0.65625,0.6158519585927328,0.02083333333333337,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.25,320,3,29,0.9402034505208333,1
redundant_task_hardened,majority9,0,8,gumbel_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.71875,0.7592607339223226,0.4479166666666667,0.7813653945922852,0.2708333333333333,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,0.0,0.2421875,640,3,57,0.7616826089223226,1
redundant_task_hardened,random_sparse10,0,2,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_14,best_hard,0.6770833333333334,0.8362406094868978,0.5572916666666666,0.7101492881774902,0.11979166666666674,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.2375,160,3,13,0.8386156094868978,1
redundant_task_hardened,random_sparse10,0,4,gumbel_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.6145833333333334,1.3121212323506672,0.4375,0.7522315979003906,0.17708333333333337,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,0.0,0.303125,320,3,26,1.3151524823506673,1
redundant_task_hardened,random_sparse10,0,8,gumbel_st,1,all_candidates_validation_hard_acc,gumbel_sample_18,best_hard,0.625,1.2978549003601074,0.5572916666666666,1.30515718460083,0.06770833333333337,redundant_hardening_bool_gumbel_st_seed0_valid_v1,nan,nan,nan,0.2171875,640,3,52,1.3000267753601074,1
redundant_task_hardened,parity8,0,2,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.625,0.9364892641703287,0.4791666666666667,0.7110878626505533,0.14583333333333331,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.26875,160,3,16,0.9391767641703287,1
redundant_task_hardened,parity8,0,4,argmax_st,1,all_candidates_validation_hard_acc,gumbel_sample_15,best_hard,0.5833333333333334,1.009723424911499,0.4791666666666667,0.9856159687042236,0.10416666666666669,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,nan,0.284375,320,3,32,1.012567174911499,1
redundant_task_hardened,parity8,0,8,argmax_st,1,all_candidates_validation_hard_acc,gumbel_sample_23,best_hard,0.6041666666666666,1.3962887128194172,0.5208333333333334,1.0704439481099446,0.08333333333333326,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,nan,0.2375,640,3,64,1.3986637128194173,1
redundant_task_hardened,majority9,0,2,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.84375,0.43929386138916016,0.78125,0.5776785214742025,0.0625,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.2375,160,3,15,0.44166886138916017,1
redundant_task_hardened,majority9,0,4,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.9166666666666666,0.1750086545944214,0.7916666666666666,0.44396034876505536,0.125,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.209375,320,3,29,0.1771024045944214,1
redundant_task_hardened,majority9,0,8,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.96875,0.08865508437156677,0.4479166666666667,1.2141784032185872,0.5208333333333333,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.209375,640,3,57,0.09074883437156678,1
redundant_task_hardened,random_sparse10,0,2,argmax_st,1,all_candidates_validation_hard_acc,argmax_best_hard,best_hard,0.8177083333333334,0.46832116444905597,0.734375,0.5878166357676188,0.08333333333333337,redundant_hardening_bool_argmax_st_seed0_valid_v1,nan,nan,0.0,0.2,160,3,13,0.470321164449056,1
