active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_cell_accuracy,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_description_bits,model_kind,neighborhood,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
,,,,,,,1.0,,,,0.6,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,1e0a9b12,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.6,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.7532467532467533,0.0,1220,,von_neumann_r2,,,-1,1.0,,,,,,,,,selected,1e0a9b12,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.6,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.7532467532467533,0.0,16818,,moore_r2,,,-1,1.0,,,,,,,,,selected,1e0a9b12,,,,,,,d4_bgpad_sparse,,
22,0.7532467532467533,0.0,none,,,,,cuda,7.860658581019379,480,0.6,0.7532467532467533,0.0,0.0,1.0,cb24e208723010d012e7186715674f161dc1ebdd03112e55ee175590475f7505,2704,164,0,25,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,0,1.0,1,same,0.52,0.0,0.0,0.0,4,1,trained,1e0a9b12,25,,4100,1,[null],100,dl1,6,6
45,0.7532467532467533,0.0,none,,,,,cuda,7.017793991020881,480,0.52,0.7662337662337663,0.0,0.0,1.0,d5f22f6e77d086f69ee33393275d09ba42245b95f14ead634189c2e98f26017b,8376,484,0,25,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,7744,247808,0,1.0,1,same,0.6,0.0,0.0,0.0,4,1,trained,1e0a9b12,25,,12100,1,[null],100,dl1_wide,6,6
,,,,,,,1.0,,,,0.921875,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,3345333e,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.921875,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.9453125,0.0,1668,,von_neumann_r2,,,-1,1.0,,,,,,,,,selected,3345333e,,,,,,,d4_sparse,,
,,,d4_bgpad,,1.0,1.0,1.0,,,,0.921875,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.9453125,0.0,23474,,moore_r2,,,-1,1.0,,,,,,,,,selected,3345333e,,,,,,,d4_bgpad_sparse,,
11,0.9453125,0.0,none,,,,,cuda,5.691384337027557,480,0.796875,0.9296875,0.0,0.0,1.0,c949fe2171f43b573fbfa3e753de0e6dad1dde210ef2f3db747cd136fe66d34a,2704,164,0,256,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,2624,83968,2,1.0,1,same,0.796875,0.0,0.0,0.0,4,1,trained,3345333e,256,,41984,1,[null],1024,dl1,16,16
40,0.9453125,0.0,none,,,,,cuda,6.864921547006816,480,0.7578125,0.947265625,0.0,0.0,1.0,05b1687cfc8011b20cc0cfec5226a220e10767249f52b0bfe36e1936a3f6fdbb,8376,484,0,256,0.0,0.0,0.0,0.0,0.0,,,,difflogic,,7744,247808,1,1.0,1,same,0.79296875,0.0,0.0,0.0,4,1,trained,3345333e,256,,123904,1,[null],1024,dl1_wide,16,16
,,,,,,,1.0,,,,0.3469387755102041,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,,,,,,,,-1,1.0,,,,,,,,,selected,68b16354,,,,,,,sparse,,
,,,none,,1.0,1.0,1.0,,,,0.3469387755102041,1.0,1.0,1.0,,,,,,,,0.0,0.0,0.0,,0.21212121212121213,0.0,1923,,von_neumann_r1,,,-1,1.0,,,,,,,,,selected,68b16354,,,,,,,d4_sparse,,
