task_id,primary_category,canvas_compatible,demo_count,query_count,program_count,programs_reaching_roles_on_all_demos,programs_reaching_relation_on_all_demos,programs_legal_on_all_demos,identity_mismatch_count,best_legal_mismatch_count,best_legal_improvement_over_identity,quality_parent_count,execution_reason_counts,canvas_relations
17829a00,parse_failure,True,2,1,10,0,0,0,100,,,0,"{""ambiguous_roles"":20}","[""same_canvas"",""same_canvas""]"
25c199f5,canvas_incompatible,False,5,2,10,10,0,0,,,,0,"{""no_unique_correspondence"":46,""ok"":4}","[""other_shape_change"",""other_shape_change"",""other_shape_change"",""other_shape_change"",""other_shape_change""]"
2de01db2,parse_failure,True,3,1,14,0,0,0,90,,,0,"{""ambiguous_roles"":22,""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas"",""same_canvas""]"
2f767503,relation_missing,True,3,1,10,10,0,0,20,,,0,"{""no_unique_correspondence"":29,""ok"":1}","[""same_canvas"",""same_canvas"",""same_canvas""]"
396d80d7,legal_but_inexact,True,2,1,14,10,1,1,27,43,-16,0,"{""ambiguous_roles"":8,""no_unique_correspondence"":18,""ok"":2}","[""same_canvas"",""same_canvas""]"
3ad05f52,legal_but_inexact,True,3,1,22,10,2,2,406,528,-122,0,"{""ambiguous_roles"":36,""no_unique_correspondence"":24,""ok"":6}","[""same_canvas"",""same_canvas"",""same_canvas""]"
3d588dc9,parse_failure,True,2,1,14,0,0,0,11,,,0,"{""ambiguous_roles"":18,""no_unique_correspondence"":10}","[""same_canvas"",""same_canvas""]"
4df5b0ae,relation_missing,True,3,1,10,10,0,0,120,,,0,"{""no_unique_correspondence"":28,""ok"":2}","[""same_canvas"",""same_canvas"",""same_canvas""]"
52364a65,relation_missing,True,2,1,10,10,0,0,26,,,0,"{""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas""]"
54dc2872,parse_failure,True,2,1,10,0,0,0,35,,,0,"{""ambiguous_roles"":20}","[""same_canvas"",""same_canvas""]"
5587a8d0,canvas_incompatible,False,3,1,34,10,0,0,,,,0,"{""ambiguous_roles"":72,""no_unique_correspondence"":16,""ok"":14}","[""integer_canvas_reduction"",""other_shape_change"",""same_canvas""]"
5623160b,parse_failure,True,3,1,10,0,0,0,52,,,0,"{""ambiguous_roles"":30}","[""same_canvas"",""same_canvas"",""same_canvas""]"
5a719d11,parse_failure,True,3,1,22,0,0,0,186,,,0,"{""ambiguous_roles"":46,""no_unique_correspondence"":18,""ok"":2}","[""same_canvas"",""same_canvas"",""same_canvas""]"
5adee1b2,parse_failure,True,2,1,22,0,0,0,231,,,0,"{""ambiguous_roles"":44}","[""same_canvas"",""same_canvas""]"
6165ea8f,canvas_incompatible,False,3,2,22,0,0,0,,,,0,"{""ambiguous_roles"":66}","[""other_shape_change"",""other_shape_change"",""other_shape_change""]"
66ac4c3b,relation_missing,True,2,1,10,10,0,0,70,,,0,"{""no_unique_correspondence"":20}","[""same_canvas"",""same_canvas""]"
753ea09b,ast_insufficient,True,3,1,22,10,1,0,531,,,0,"{""ambiguous_roles"":36,""no_unique_correspondence"":26,""ok"":2,""topology_violation"":2}","[""same_canvas"",""same_canvas"",""same_canvas""]"
825aa9e9,relation_missing,True,4,1,10,10,0,0,34,,,0,"{""no_unique_correspondence"":38,""ok"":2}","[""same_canvas"",""same_canvas"",""same_canvas"",""same_canvas""]"
83eb0a57,canvas_incompatible,False,3,1,10,10,0,0,,,,0,"{""no_unique_correspondence"":30}","[""other_shape_change"",""other_shape_change"",""other_shape_change""]"
878187ab,canvas_incompatible,False,2,1,14,10,0,0,,,,0,"{""ambiguous_roles"":8,""no_unique_correspondence"":20}","[""same_canvas"",""other_shape_change""]"
8a6d367c,canvas_incompatible,False,3,1,22,0,0,0,,,,0,"{""ambiguous_roles"":46,""no_unique_correspondence"":16,""ok"":4}","[""other_shape_change"",""other_shape_change"",""other_shape_change""]"
902510d5,parse_failure,True,4,1,22,0,0,0,58,,,0,"{""ambiguous_roles"":68,""no_unique_correspondence"":17,""ok"":3}","[""same_canvas"",""same_canvas"",""same_canvas"",""same_canvas""]"
