active_non_passthrough_gates,augmentation_lodo_cell_accuracy,augmentation_lodo_pair_exact,augmentation_policy,dense_macs_per_cell_step,deployment_demo_task_exact,deployment_eligible,device,elapsed_seconds,epochs_executed,hard_cell_accuracy,hard_demo_cell_accuracy,hard_demo_pair_exact_rate,hard_demo_task_exact,hard_export_equivalent,hard_export_sha256,hard_fixed_width_circuit_bits,hard_gates_per_cell_step,hard_invalid_cells,hard_invalid_denominator,hard_invalid_rate,hard_pair_exact_count,hard_pair_exact_rate,hard_task_exact,hardening_task_drop,lodo_cell_accuracy,lodo_pair_exact,model_kind,parameter_count,parameter_storage_bits,seed,selected_by_demo,selected_horizon,shape_program,soft_cell_accuracy,soft_pair_exact_count,soft_pair_exact_rate,soft_task_exact,state_bits_per_cell,static_channels,status,task_id,test_active_cells,test_dense_macs,test_dynamic_gate_evaluations,test_executed_steps_per_example,test_fixed_point_steps,test_state_bit_updates,variant,workspace_columns,workspace_rows
95,0.0,0.0,none,,,,cuda,24.2599271730287,480,0.6666666666666666,0.5238095238095238,0.0,0.0,1.0,943b35dc6859794a7ab7b5970f4f51a1279b8be460a9a1a5622d2dfa7355bfc4,7176,372,0,18,0.0,0.0,0.0,0.0,0.0,,,difflogic,5952,190464,2,0.0,1,constant:3:3,0.5555555555555556,0.0,0.0,0.0,12,90,trained,9110e3c5,98,,36456,1,"[null,null]",1176,dlf,7,7
0,0.0,0.0,none,57600,,,cuda,5.623820764943957,421,0.6666666666666666,1.0,1.0,1.0,,,,,0,18,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,0,1.0,4,constant:3:3,0.6666666666666666,0.0,0.0,0.0,12,90,trained,9110e3c5,98,22579200,,4,"[null,4]",4704,mlp,7,7
0,0.0,0.0,none,57600,,,cuda,5.625104589969851,401,0.6111111111111112,1.0,1.0,1.0,,,,,0,18,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,1,0.0,4,constant:3:3,0.6666666666666666,0.0,0.0,0.0,12,90,trained,9110e3c5,98,22579200,,4,"[null,null]",4704,mlp,7,7
0,0.0,0.0,none,57600,,,cuda,6.019492511986755,421,0.6111111111111112,1.0,1.0,1.0,,,,,0,18,0.0,0.0,0.0,0.0,0.0,,,mlp,57900,1852800,2,0.0,8,constant:3:3,0.6111111111111112,0.0,0.0,0.0,12,90,trained,9110e3c5,98,45158400,,8,"[7,6]",9408,mlp,7,7
,,,,,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,,,,,-1,1.0,,,,,,,,,unsupported_shape_change,ae4f1146,,,,,,,sparse,,
,,,none,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,ae4f1146,,,,,,,d4_sparse,,
,,,d4_bgpad,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,,-1,1.0,,,,,,,,,unsupported_shape_change,ae4f1146,,,,,,,d4_bgpad_sparse,,
91,0.0,0.0,none,,,,cuda,27.184462736011483,480,0.5555555555555556,0.5277777777777778,0.0,0.0,1.0,8a1cdba33dd491d1dc8b89517ce547e1c789205108b1fd239011a93f7a0829bd,7176,372,0,9,0.0,0.0,0.0,0.0,0.0,,,difflogic,5952,190464,0,1.0,4,constant:3:3,0.4444444444444444,0.0,0.0,0.0,12,90,trained,ae4f1146,81,,120528,4,[null],3888,dlf,9,9
85,0.0,0.0,none,,,,cuda,24.933698743931018,480,0.3333333333333333,0.4166666666666667,0.0,0.0,1.0,5627304d502f84e3e7e2c43ffaaceec47446dc22c7ea1bae8e0de9b8c43d5094,7176,372,0,9,0.0,0.0,0.0,0.0,0.0,,,difflogic,5952,190464,1,0.0,2,constant:3:3,0.6666666666666666,0.0,0.0,0.0,12,90,trained,ae4f1146,81,,60264,2,[null],1944,dlf,9,9
90,0.0,0.0,none,,,,cuda,25.284094144008122,480,0.0,0.0,0.0,0.0,1.0,bfeeb1ffe65bd0f119026c7eaef0b68660df6f6e4cebf6d51e146ecd4cf4af3d,7176,372,0,9,0.0,0.0,0.0,0.0,0.0,,,difflogic,5952,190464,2,0.0,1,constant:3:3,0.5555555555555556,0.0,0.0,0.0,12,90,trained,ae4f1146,81,,30132,1,[null],972,dlf,9,9
